date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2012-04-04,2012,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,112,10,115,3,Mumbai Indians,complete,0,8,RE Levi,RS Madugalle,JD Cloete,SJA Taufel,S Ravi,K Srinath,20,"F du Plessis, M Vijay, SK Raina, DJ Bravo, JA Morkel, S Badrinath, MS Dhoni, RA Jadeja, R Ashwin, SB Jakati, DE Bollinger","RE Levi, SR Tendulkar, RG Sharma, AT Rayudu, JEC Franklin, KD Karthik, KA Pollard, Harbhajan Singh, SL Malinga, AN Ahmed, PP Ojha"
2012-04-05,2012,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,97,9,100,2,Delhi Daredevils,complete,0,8,IK Pathan,GF Labrooy,S Asnani,HDPK Dharmasena,S Das,Premdip Chatterjee,20,"BB McCullum, JH Kallis, G Gambhir, MK Tiwary, YK Pathan, DB Das, LR Shukla, R Bhatia, B Lee, Iqbal Abdulla, M de Lange","AJ Finch, V Sehwag, IK Pathan, GJ Maxwell, NV Ojha, Y Venugopal Rao, M Morkel, Y Nagar, RE van der Merwe, UT Yadav, S Nadeem"
2012-04-06,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,191,4,160,9,Rajasthan Royals,complete,31,0,AM Rahane,RS Madugalle,BF Bowden,SK Tarapore,VA Kulkarni,PK Khakhar,20,"R Dravid, AM Rahane, AL Menaria, BJ Hodge, OA Shah, KK Cooper, J Botha, AA Chavan, SP Goswami, A Singh, SK Trivedi","AC Gilchrist, PC Valthaty, SE Marsh, AM Nayar, DJ Hussey, Mandeep Singh, Bipul Sharma, PP Chawla, JP Faulkner, P Kumar, Harmeet Singh"
2012-04-06,2012,Mumbai,Wankhede Stadium,Mumbai Indians,Pune Warriors,Mumbai Indians,field,101,9,129,9,Pune Warriors,complete,28,0,SPD Smith,RR Jadeja,AK Chaudhary,SJA Taufel,JD Cloete,PG Pathak,20,"RE Levi, AT Rayudu, RG Sharma, JEC Franklin, KD Karthik, SA Yadav, KA Pollard, Harbhajan Singh, SL Malinga, PP Ojha, MM Patel","MK Pandey, SC Ganguly, WD Parnell, RV Uthappa, CJ Ferguson, SPD Smith, MN Samuels, B Kumar, M Kartik, R Sharma, AB Dinda"
2012-04-07,2012,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,157,8,137,7,Royal Challengers Bangalore,complete,20,0,AB de Villiers,Raju Mukherjee,S Asnani,S Ravi,S Das,BK Ravi,20,"AB McDonald, CA Pujara, V Kohli, AB de Villiers, SS Tiwary, MA Agarwal, DL Vettori, R Vinay Kumar, HV Patel, Z Khan, M Muralitharan","AJ Finch, V Sehwag, NV Ojha, Y Venugopal Rao, GJ Maxwell, Y Nagar, IK Pathan, DAJ Bracewell, M Morkel, UT Yadav, S Nadeem"
2012-04-07,2012,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Chennai Super Kings,Deccan Chargers,field,119,10,193,6,Chennai Super Kings,complete,74,0,RA Jadeja,GF Labrooy,JD Cloete,HDPK Dharmasena,AK Chaudhary,R Subramanian,20,"DJ Harris, S Dhawan, PA Patel, CL White, B Chipli, DT Christian, MS Gony, DB Ravi Teja, Ankit Sharma, DW Steyn, TP Sudhindra","M Vijay, F du Plessis, SK Raina, S Badrinath, RA Jadeja, MS Dhoni, DJ Bravo, JA Morkel, R Ashwin, SB Jakati, DE Bollinger"
2012-04-08,2012,Pune,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,166,6,144,8,Pune Warriors,complete,22,0,MN Samuels,RR Jadeja,S Das,SJA Taufel,S Asnani,SD Ranade,20,"JD Ryder, SC Ganguly, MN Samuels, RV Uthappa, CJ Ferguson, SPD Smith, MK Pandey, R Sharma, M Kartik, AB Dinda, A Nehra","AC Gilchrist, PC Valthaty, Mandeep Singh, AM Nayar, DJ Hussey, PP Chawla, AD Mascarenhas, Bipul Sharma, JP Faulkner, P Kumar, Harmeet Singh"
2012-04-08,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,164,5,142,10,Rajasthan Royals,complete,22,0,BJ Hodge,RS Madugalle,BF Bowden,VA Kulkarni,SK Tarapore,PK Khakhar,20,"R Dravid, AM Rahane, SP Goswami, AL Menaria, BJ Hodge, OA Shah, KK Cooper, J Botha, AA Chavan, A Singh, SK Trivedi","JH Kallis, BB McCullum, G Gambhir, MK Tiwary, DB Das, YK Pathan, R Bhatia, LR Shukla, B Lee, SP Narine, Iqbal Abdulla"
2012-04-09,2012,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,138,9,142,5,Mumbai Indians,complete,0,5,RG Sharma,GF Labrooy,AK Chaudhary,JD Cloete,HDPK Dharmasena,R Subramanian,20,"PA Patel, S Dhawan, B Chipli, DT Christian, KC Sangakkara, CL White, DB Ravi Teja, A Mishra, DW Steyn, Ankit Sharma, Anand Rajan","TL Suman, RE Levi, RG Sharma, AT Rayudu, KA Pollard, KD Karthik, JEC Franklin, Harbhajan Singh, SL Malinga, PP Ojha, MM Patel"
2012-04-10,2012,Delhi,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,field,111,2,110,8,Delhi Daredevils,complete,0,8,M Morkel,RS Madugalle,Asad Rauf,SK Tarapore,VA Kulkarni,S Dua,20,"NV Ojha, V Sehwag, KP Pietersen, DPMD Jayawardene, RE van der Merwe, Y Venugopal Rao, Y Nagar, IK Pathan, M Morkel, UT Yadav, S Nadeem","F du Plessis, M Vijay, SK Raina, S Badrinath, RA Jadeja, DJ Bravo, MS Dhoni, JA Morkel, R Ashwin, SB Jakati, DE Bollinger"
