date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2014-04-16,2014,Abu Dhabi,Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,122,7,163,5,Kolkata Knight Riders,complete,41,0,JH Kallis,AJ Pycroft,M Erasmus,RK Illingworth,BF Bowden,K Srinath,20,"MEK Hussey, AP Tare, AT Rayudu, RG Sharma, KA Pollard, CJ Anderson, Harbhajan Singh, CM Gautam, SL Malinga, Z Khan, PP Ojha","G Gambhir, JH Kallis, MK Pandey, RV Uthappa, YK Pathan, Shakib Al Hasan, SA Yadav, PP Chawla, R Vinay Kumar, SP Narine, M Morkel"
2014-04-17,2014,Unknown,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,145,4,146,2,Royal Challengers Bangalore,complete,0,8,YS Chahal,GF Labrooy,Aleem Dar,S Ravi,VA Kulkarni,K Bharatan,20,"MA Agarwal, M Vijay, KD Karthik, MK Tiwary, JP Duminy, LRPL Taylor, JDS Neesham, WD Parnell, S Nadeem, R Sharma, Mohammed Shami","PA Patel, NJ Maddinson, V Kohli, Yuvraj Singh, AB de Villiers, JA Morkel, S Rana, AB Dinda, MA Starc, YS Chahal, VR Aaron"
2014-04-18,2014,Abu Dhabi,Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,205,4,206,4,Kings XI Punjab,complete,0,6,GJ Maxwell,AJ Pycroft,RK Illingworth,C Shamshuddin,BF Bowden,K Srinath,20,"DR Smith, BB McCullum, SK Raina, MS Dhoni, DJ Bravo, F du Plessis, RA Jadeja, R Ashwin, P Negi, A Nehra, MM Sharma","CA Pujara, V Sehwag, GJ Maxwell, AR Patel, DA Miller, GJ Bailey, WP Saha, MG Johnson, R Dhawan, P Awana, L Balaji"
2014-04-18,2014,Abu Dhabi,Sheikh Zayed Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,133,6,135,6,Rajasthan Royals,complete,0,4,AM Rahane,AJ Pycroft,BF Bowden,RK Illingworth,C Shamshuddin,K Srinath,20,"AJ Finch, S Dhawan, DA Warner, KL Rahul, DJG Sammy, Y Venugopal Rao, KV Sharma, DW Steyn, A Mishra, B Kumar, I Sharma","AM Nayar, AM Rahane, SV Samson, SR Watson, STR Binny, BJ Hodge, R Bhatia, JP Faulkner, KW Richardson, DS Kulkarni, PV Tambe"
2014-04-19,2014,Unknown,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,116,3,115,9,Royal Challengers Bangalore,complete,0,7,PA Patel,GF Labrooy,Aleem Dar,AK Chaudhary,VA Kulkarni,K Srinivasan,20,"NJ Maddinson, PA Patel, V Kohli, Yuvraj Singh, AB de Villiers, JA Morkel, S Rana, AB Dinda, MA Starc, YS Chahal, VR Aaron","MEK Hussey, AP Tare, AT Rayudu, RG Sharma, KA Pollard, CJ Anderson, Harbhajan Singh, Z Khan, SL Malinga, PP Ojha, JJ Bumrah"
2014-04-19,2014,Unknown,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,166,5,167,6,Delhi Daredevils,complete,0,4,JP Duminy,GF Labrooy,Aleem Dar,VA Kulkarni,AK Chaudhary,K Srinivasan,20,"JH Kallis, G Gambhir, MK Pandey, RV Uthappa, Shakib Al Hasan, YK Pathan, SA Yadav, PP Chawla, R Vinay Kumar, SP Narine, M Morkel","M Vijay, MA Agarwal, KD Karthik, LRPL Taylor, JP Duminy, MK Tiwary, JDS Neesham, NM Coulter-Nile, S Nadeem, Mohammed Shami, JD Unadkat"
2014-04-20,2014,Unknown,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,191,5,193,3,Kings XI Punjab,complete,0,7,GJ Maxwell,AJ Pycroft,BF Bowden,M Erasmus,S Ravi,K Bharatan,20,"AM Nayar, AM Rahane, SV Samson, SR Watson, STR Binny, SPD Smith, JP Faulkner, R Bhatia, KW Richardson, DS Kulkarni, PV Tambe","CA Pujara, V Sehwag, WP Saha, GJ Maxwell, DA Miller, GJ Bailey, MG Johnson, M Kartik, AR Patel, P Awana, L Balaji"
2014-04-21,2014,Abu Dhabi,Sheikh Zayed Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,177,7,84,9,Chennai Super Kings,complete,93,0,SK Raina,GF Labrooy,RK Illingworth,C Shamshuddin,HDPK Dharmasena,K Srinath,20,"DR Smith, BB McCullum, SK Raina, F du Plessis, MS Dhoni, RA Jadeja, M Manhas, R Ashwin, BW Hilfenhaus, MM Sharma, IC Pandey","MA Agarwal, M Vijay, KD Karthik, MK Tiwary, JP Duminy, LRPL Taylor, JDS Neesham, S Nadeem, Mohammed Shami, JD Unadkat, NM Coulter-Nile"
2014-04-22,2014,Unknown,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,193,6,121,10,Kings XI Punjab,complete,72,0,GJ Maxwell,AJ Pycroft,M Erasmus,S Ravi,BF Bowden,K Bharatan,20,"CA Pujara, V Sehwag, GJ Maxwell, DA Miller, GJ Bailey, MG Johnson, AR Patel, WP Saha, L Balaji, R Dhawan, Sandeep Sharma","AJ Finch, S Dhawan, DA Warner, KL Rahul, Y Venugopal Rao, IK Pathan, DJG Sammy, KV Sharma, DW Steyn, A Mishra, B Kumar"
2014-04-23,2014,Unknown,Dubai International Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,133,10,140,6,Chennai Super Kings,complete,7,0,RA Jadeja,GF Labrooy,HDPK Dharmasena,RK Illingworth,C Shamshuddin,K Srinivasan,20,"AM Nayar, AM Rahane, SV Samson, SR Watson, STR Binny, SPD Smith, R Bhatia, JP Faulkner, TG Southee, DS Kulkarni, PV Tambe","DR Smith, BB McCullum, SK Raina, F du Plessis, MS Dhoni, RA Jadeja, M Manhas, R Ashwin, BW Hilfenhaus, IC Pandey, MM Sharma"
