date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2020-09-19,2020/21,Abu Dhabi,Sheikh Zayed Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,162,9,166,5,Chennai Super Kings,complete,0,5,AT Rayudu,M Nayyar,CB Gaffaney,VK Sharma,S Ravi,UV Gandhe,20,"RG Sharma, Q de Kock, SA Yadav, SS Tiwary, HH Pandya, KA Pollard, KH Pandya, JL Pattinson, RD Chahar, TA Boult, JJ Bumrah","M Vijay, SR Watson, F du Plessis, AT Rayudu, RA Jadeja, SM Curran, MS Dhoni, KM Jadhav, PP Chawla, DL Chahar, L Ngidi"
2020-09-20,2020/21,Unknown,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,160,8,159,10,None,tie,0,0,MP Stoinis,J Srinath,AK Chaudhary,Nitin Menon,PR Reiffel,YC Barde,20,"PP Shaw, S Dhawan, SO Hetmyer, SS Iyer, RR Pant, MP Stoinis, AR Patel, R Ashwin, K Rabada, A Nortje, MM Sharma","KL Rahul, MA Agarwal, KK Nair, N Pooran, GJ Maxwell, SN Khan, K Gowtham, CJ Jordan, Mohammed Shami, SS Cottrell, Ravi Bishnoi"
2020-09-21,2020/21,Unknown,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,163,5,153,10,Royal Challengers Bangalore,complete,10,0,YS Chahal,Prakash Bhatt,AY Dandekar,Nitin Menon,AK Chaudhary,YC Barde,20,"D Padikkal, AJ Finch, V Kohli, AB de Villiers, S Dube, JR Philippe, Washington Sundar, UT Yadav, Navdeep Saini, DW Steyn, YS Chahal","DA Warner, JM Bairstow, MK Pandey, PK Garg, V Shankar, Abhishek Sharma, Rashid Khan, B Kumar, Sandeep Sharma, MR Marsh, T Natarajan"
2020-09-22,2020/21,Unknown,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,216,7,200,6,Rajasthan Royals,complete,16,0,SV Samson,V Narayan Kutty,C Shamshuddin,VA Kulkarni,KN Ananthapadmanabhan,K Srinivasan,20,"YBK Jaiswal, SPD Smith, SV Samson, DA Miller, RV Uthappa, R Tewatia, R Parag, TK Curran, JC Archer, S Gopal, JD Unadkat","M Vijay, SR Watson, F du Plessis, SM Curran, RD Gaikwad, KM Jadhav, MS Dhoni, RA Jadeja, PP Chawla, DL Chahar, L Ngidi"
2020-09-23,2020/21,Abu Dhabi,Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,195,5,146,9,Mumbai Indians,complete,49,0,RG Sharma,M Nayyar,CB Gaffaney,S Ravi,VK Sharma,PG Pathak,20,"Q de Kock, RG Sharma, SA Yadav, SS Tiwary, HH Pandya, KA Pollard, KH Pandya, JL Pattinson, RD Chahar, TA Boult, JJ Bumrah","Shubman Gill, SP Narine, KD Karthik, N Rana, EJG Morgan, AD Russell, NS Naik, PJ Cummins, Shivam Mavi, Kuldeep Yadav, S Sandeep Warrier"
2020-09-24,2020/21,Unknown,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,206,3,109,10,Kings XI Punjab,complete,97,0,KL Rahul,J Srinath,AK Chaudhary,PR Reiffel,Nitin Menon,AY Dandekar,20,"KL Rahul, MA Agarwal, N Pooran, GJ Maxwell, KK Nair, JDS Neesham, SN Khan, Mohammed Shami, SS Cottrell, Ravi Bishnoi, M Ashwin","D Padikkal, AJ Finch, JR Philippe, V Kohli, AB de Villiers, Washington Sundar, S Dube, UT Yadav, Navdeep Saini, DW Steyn, YS Chahal"
2020-09-25,2020/21,Unknown,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,175,3,131,7,Delhi Capitals,complete,44,0,PP Shaw,V Narayan Kutty,KN Ananthapadmanabhan,RK Illingworth,K Srinivasan,VA Kulkarni,20,"PP Shaw, S Dhawan, RR Pant, SS Iyer, MP Stoinis, SO Hetmyer, AR Patel, A Mishra, K Rabada, A Nortje, Avesh Khan","M Vijay, SR Watson, F du Plessis, RD Gaikwad, KM Jadhav, MS Dhoni, RA Jadeja, SM Curran, PP Chawla, DL Chahar, JR Hazlewood"
2020-09-26,2020/21,Abu Dhabi,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,142,4,145,3,Kolkata Knight Riders,complete,0,7,Shubman Gill,Shakti Singh,CB Gaffaney,VK Sharma,S Ravi,UV Gandhe,20,"DA Warner, JM Bairstow, MK Pandey, WP Saha, Mohammad Nabi, Abhishek Sharma, PK Garg, Rashid Khan, B Kumar, T Natarajan, KK Ahmed","Shubman Gill, SP Narine, N Rana, KD Karthik, EJG Morgan, AD Russell, PJ Cummins, Shivam Mavi, Kuldeep Yadav, KL Nagarkoti, CV Varun"
2020-09-27,2020/21,Unknown,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,223,2,226,6,Rajasthan Royals,complete,0,4,SV Samson,V Narayan Kutty,RK Illingworth,K Srinivasan,C Shamshuddin,VA Kulkarni,20,"KL Rahul, MA Agarwal, GJ Maxwell, N Pooran, KK Nair, JDS Neesham, SN Khan, Mohammed Shami, SS Cottrell, Ravi Bishnoi, M Ashwin","JC Buttler, SPD Smith, SV Samson, R Tewatia, RV Uthappa, JC Archer, R Parag, TK Curran, S Gopal, AS Rajpoot, JD Unadkat"
2020-09-28,2020/21,Unknown,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,212,3,208,6,None,tie,0,0,AB de Villiers,J Srinath,Nitin Menon,PR Reiffel,AK Chaudhary,YC Barde,20,"D Padikkal, AJ Finch, V Kohli, AB de Villiers, S Dube, Gurkeerat Singh, Washington Sundar, I Udana, Navdeep Saini, YS Chahal, A Zampa","RG Sharma, Q de Kock, SA Yadav, Ishan Kishan, HH Pandya, KA Pollard, KH Pandya, JL Pattinson, RD Chahar, TA Boult, JJ Bumrah"
