date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2021-04-09,2021,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,159,9,160,8,Royal Challengers Bangalore,complete,0,2,HV Patel,V Narayan Kutty,KN Ananthapadmanabhan,Nitin Menon,C Shamshuddin,UV Gandhe,20,"RG Sharma, CA Lynn, SA Yadav, Ishan Kishan, HH Pandya, KA Pollard, KH Pandya, M Jansen, RD Chahar, JJ Bumrah, TA Boult","Washington Sundar, V Kohli, RM Patidar, GJ Maxwell, AB de Villiers, Shahbaz Ahmed, DT Christian, KA Jamieson, HV Patel, Mohammed Siraj, YS Chahal"
2021-04-10,2021,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,188,7,190,3,Delhi Capitals,complete,0,7,S Dhawan,M Nayyar,AK Chaudhary,VK Sharma,S Ravi,AY Dandekar,20,"RD Gaikwad, F du Plessis, MM Ali, SK Raina, AT Rayudu, RA Jadeja, MS Dhoni, SM Curran, DJ Bravo, SN Thakur, DL Chahar","PP Shaw, S Dhawan, RR Pant, MP Stoinis, SO Hetmyer, AM Rahane, CR Woakes, TK Curran, R Ashwin, A Mishra, Avesh Khan"
2021-04-11,2021,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,187,6,177,5,Kolkata Knight Riders,complete,10,0,N Rana,V Narayan Kutty,KN Ananthapadmanabhan,Nitin Menon,CB Gaffaney,HAS Khalid,20,"N Rana, Shubman Gill, RA Tripathi, AD Russell, EJG Morgan, KD Karthik, Shakib Al Hasan, PJ Cummins, Harbhajan Singh, CV Varun, M Prasidh Krishna","WP Saha, DA Warner, MK Pandey, JM Bairstow, Mohammad Nabi, V Shankar, Abdul Samad, Rashid Khan, B Kumar, Sandeep Sharma, T Natarajan"
2021-04-12,2021,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,221,6,217,7,Punjab Kings,complete,4,0,SV Samson,M Nayyar,AK Chaudhary,S Ravi,VK Sharma,YC Barde,20,"KL Rahul, MA Agarwal, CH Gayle, DJ Hooda, N Pooran, M Shahrukh Khan, JA Richardson, M Ashwin, Mohammed Shami, RP Meredith, Arshdeep Singh","BA Stokes, M Vohra, SV Samson, JC Buttler, S Dube, R Parag, R Tewatia, CH Morris, S Gopal, C Sakariya, Mustafizur Rahman"
2021-04-13,2021,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,152,10,142,7,Mumbai Indians,complete,10,0,RD Chahar,S Chaturvedi,C Shamshuddin,CB Gaffaney,KN Ananthapadmanabhan,HAS Khalid,20,"RG Sharma, Q de Kock, SA Yadav, Ishan Kishan, HH Pandya, KA Pollard, KH Pandya, M Jansen, RD Chahar, JJ Bumrah, TA Boult","N Rana, Shubman Gill, RA Tripathi, EJG Morgan, Shakib Al Hasan, KD Karthik, AD Russell, PJ Cummins, Harbhajan Singh, CV Varun, M Prasidh Krishna"
2021-04-14,2021,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,149,8,143,9,Royal Challengers Bangalore,complete,6,0,GJ Maxwell,V Narayan Kutty,Nitin Menon,UV Gandhe,C Shamshuddin,Tapan Sharma,20,"V Kohli, D Padikkal, Shahbaz Ahmed, GJ Maxwell, AB de Villiers, Washington Sundar, DT Christian, KA Jamieson, HV Patel, Mohammed Siraj, YS Chahal","WP Saha, DA Warner, MK Pandey, JM Bairstow, Abdul Samad, V Shankar, JO Holder, Rashid Khan, B Kumar, S Nadeem, T Natarajan"
2021-04-15,2021,Mumbai,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,147,8,150,7,Rajasthan Royals,complete,0,3,JD Unadkat,Shakti Singh,S Ravi,VK Sharma,AK Chaudhary,J Madanagopal,20,"PP Shaw, S Dhawan, AM Rahane, RR Pant, MP Stoinis, Lalit Yadav, TK Curran, CR Woakes, R Ashwin, K Rabada, Avesh Khan","JC Buttler, M Vohra, SV Samson, S Dube, DA Miller, R Parag, R Tewatia, CH Morris, JD Unadkat, C Sakariya, Mustafizur Rahman"
2021-04-16,2021,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,106,8,107,4,Chennai Super Kings,complete,0,6,DL Chahar,Prakash Bhatt,AK Chaudhary,AY Dandekar,VK Sharma,Navdeep Singh,20,"KL Rahul, MA Agarwal, CH Gayle, DJ Hooda, N Pooran, M Shahrukh Khan, JA Richardson, M Ashwin, Mohammed Shami, RP Meredith, Arshdeep Singh","RD Gaikwad, F du Plessis, MM Ali, SK Raina, AT Rayudu, SM Curran, RA Jadeja, MS Dhoni, DJ Bravo, SN Thakur, DL Chahar"
2021-04-17,2021,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,150,5,137,10,Mumbai Indians,complete,13,0,KA Pollard,S Chaturvedi,CB Gaffaney,K Srinivasan,KN Ananthapadmanabhan,Tapan Sharma,20,"Q de Kock, RG Sharma, SA Yadav, Ishan Kishan, KA Pollard, HH Pandya, KH Pandya, AF Milne, RD Chahar, JJ Bumrah, TA Boult","DA Warner, JM Bairstow, MK Pandey, Virat Singh, V Shankar, Abhishek Sharma, Abdul Samad, Rashid Khan, B Kumar, Mujeeb Ur Rahman, KK Ahmed"
2021-04-18,2021,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Delhi Capitals,Delhi Capitals,field,195,4,198,4,Delhi Capitals,complete,0,6,S Dhawan,M Nayyar,AK Chaudhary,PR Reiffel,S Ravi,J Madanagopal,20,"KL Rahul, MA Agarwal, CH Gayle, DJ Hooda, N Pooran, M Shahrukh Khan, Jalaj S Saxena, JA Richardson, Mohammed Shami, RP Meredith, Arshdeep Singh","PP Shaw, S Dhawan, SPD Smith, RR Pant, MP Stoinis, Lalit Yadav, LI Meriwala, CR Woakes, R Ashwin, K Rabada, Avesh Khan"
