date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2011-04-08,2011,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,153,4,151,7,Chennai Super Kings,complete,2,0,S Anirudha,J Srinath,BR Doctrove,PR Reiffel,S Asnani,K Srinath,20,"S Anirudha, M Vijay, SK Raina, MS Dhoni, JA Morkel, SB Styris, S Badrinath, R Ashwin, SB Jakati, TG Southee, S Randiv","MS Bisla, JH Kallis, YK Pathan, MK Tiwary, EJG Morgan, G Gambhir, LR Shukla, R Bhatia, Iqbal Abdulla, L Balaji, S Ladda"
2011-04-09,2011,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,137,8,141,2,Rajasthan Royals,complete,0,8,SK Trivedi,AJ Pycroft,RE Koertzen,SK Tarapore,SS Hazare,C Shamshuddin,20,"S Dhawan, IR Jaggi, KC Sangakkara, B Chipli, JP Duminy, DT Christian, DB Ravi Teja, DW Steyn, A Mishra, I Sharma, PP Ojha","AG Paunikar, R Dravid, J Botha, LRPL Taylor, AS Raut, AL Menaria, A Singh, JDP Oram, SK Warne, SK Trivedi, STR Binny"
2011-04-09,2011,Kochi,Nehru Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,161,5,162,4,Royal Challengers Bangalore,complete,0,6,AB de Villiers,Raju Mukherjee,HDPK Dharmasena,K Hariharan,AL Hill,KN Ananthapadmanabhan,20,"BB McCullum, VVS Laxman, DPMD Jayawardene, BJ Hodge, RA Jadeja, RV Gomez, PA Patel, M Muralitharan, R Vinay Kumar, RP Singh, S Sreesanth","MA Agarwal, TM Dilshan, V Kohli, AB de Villiers, SS Tiwary, AUK Pathan, CA Pujara, Z Khan, DL Vettori, DP Nannes, A Mithun"
2011-04-10,2011,Delhi,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,95,10,99,2,Mumbai Indians,complete,0,8,SL Malinga,S Venkataraghavan,AM Saheba,RB Tiffin,SL Shastri,AK Chaudhary,20,"DA Warner, V Sehwag, UBT Chand, AJ Finch, NV Ojha, Y Venugopal Rao, IK Pathan, RE van der Merwe, M Morkel, UT Yadav, AB Dinda","DJ Jacobs, SR Tendulkar, AT Rayudu, RG Sharma, KA Pollard, JEC Franklin, R Sathish, Harbhajan Singh, AG Murtaza, MM Patel, SL Malinga"
2011-04-10,2011,Mumbai,Dr DY Patil Sports Academy,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,113,3,112,8,Pune Warriors,complete,0,7,SB Wagh,J Srinath,BR Doctrove,PR Reiffel,S Asnani,NA Patwardhan,20,"GC Smith, JD Ryder, M Manhas, RV Uthappa, Yuvraj Singh, MD Mishra, R Sharma, M Kartik, SB Wagh, WD Parnell, AC Thomas","AC Gilchrist, SE Marsh, PC Valthaty, KD Karthik, AM Nayar, Sunny Singh, R McLaren, PP Chawla, P Kumar, NJ Rimmington, BA Bhatt"
2011-04-11,2011,Kolkata,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,163,4,154,8,Kolkata Knight Riders,complete,9,0,JH Kallis,D Govindjee,RE Koertzen,SK Tarapore,S Ravi,S Das,20,"JH Kallis, MS Bisla, G Gambhir, MK Tiwary, YK Pathan, EJG Morgan, RN ten Doeschate, Iqbal Abdulla, R Bhatia, L Balaji, JD Unadkat","S Dhawan, IR Jaggi, B Chipli, KC Sangakkara, JP Duminy, DT Christian, DB Ravi Teja, DW Steyn, A Mishra, I Sharma, PP Ojha"
2011-04-12,2011,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,140,4,143,1,Mumbai Indians,complete,0,9,SR Tendulkar,Raju Mukherjee,HDPK Dharmasena,AL Hill,K Hariharan,CK Nandan,20,"MA Agarwal, TM Dilshan, V Kohli, AB de Villiers, AUK Pathan, SS Tiwary, CA Pujara, Z Khan, DL Vettori, DP Nannes, A Mithun","DJ Jacobs, SR Tendulkar, AT Rayudu, RG Sharma, KA Pollard, JEC Franklin, R Sathish, Harbhajan Singh, AG Murtaza, MM Patel, SL Malinga"
2011-04-12,2011,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,152,4,151,6,Rajasthan Royals,complete,0,6,SK Warne,AJ Pycroft,Aleem Dar,RB Tiffin,SS Hazare,R Subramanian,20,"AG Paunikar, R Dravid, J Botha, AL Menaria, AM Rahane, LRPL Taylor, AS Raut, SK Warne, A Singh, SK Trivedi, SW Tait","DA Warner, V Sehwag, AJ Finch, UBT Chand, NV Ojha, Y Venugopal Rao, IK Pathan, RE van der Merwe, M Morkel, S Nadeem, AB Dinda"
2011-04-13,2011,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,193,4,188,4,Kings XI Punjab,complete,0,6,PC Valthaty,S Venkataraghavan,Asad Rauf,SL Shastri,AM Saheba,K Bharatan,20,"PC Valthaty, AC Gilchrist, SE Marsh, Sunny Singh, AM Nayar, KD Karthik, R McLaren, P Kumar, RJ Harris, PP Chawla, BA Bhatt","S Anirudha, M Vijay, SK Raina, S Badrinath, MS Dhoni, SB Styris, JA Morkel, R Ashwin, SB Jakati, TG Southee, S Randiv"
2011-04-13,2011,Mumbai,Dr DY Patil Sports Academy,Pune Warriors,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,151,6,148,8,Pune Warriors,complete,0,4,MD Mishra,J Srinath,S Asnani,PR Reiffel,BR Doctrove,NA Patwardhan,20,"JD Ryder, GC Smith, M Manhas, Yuvraj Singh, RV Uthappa, MD Mishra, WD Parnell, R Sharma, M Kartik, SB Wagh, AC Thomas","BB McCullum, VVS Laxman, PA Patel, DPMD Jayawardene, BJ Hodge, RA Jadeja, RV Gomez, R Vinay Kumar, S Sreesanth, RP Singh, M Muralitharan"
