date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2025-03-22,2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,174,8,177,3,Royal Challengers Bengaluru,complete,0,7,KH Pandya,Prakash Bhatt,A Bengeri,Vinod Seshan,J Madanagopal,TM Srivastava,20,"VG Arora, Q de Kock, SP Narine, AM Rahane, VR Iyer, A Raghuvanshi, RK Singh, AD Russell, Ramandeep Singh, Harshit Rana, SH Johnson, CV Varun","Suyash Sharma, PD Salt, V Kohli, D Padikkal, RM Patidar, LS Livingstone, JM Sharma, TH David, KH Pandya, Rasikh Salam, JR Hazlewood, Yash Dayal"
2025-03-23,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,286,6,242,6,Sunrisers Hyderabad,complete,44,0,Ishan Kishan,Shakti Singh,AT Holdstock,A Totre,R Pandit,K Kelkar,20,"A Zampa, Abhishek Sharma, TM Head, Ishan Kishan, Nithish Kumar Reddy, H Klaasen, Aniket Verma, A Manohar, PJ Cummins, Simarjeet Singh, HV Patel, Mohammed Shami","Fazalhaq Farooqi, YBK Jaiswal, SV Samson, R Parag, N Rana, Dhruv Jurel, SO Hetmyer, SB Dubey, JC Archer, M Theekshana, TU Deshpande, Sandeep Sharma"
2025-03-23,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,155,9,158,6,Chennai Super Kings,complete,0,4,Noor Ahmad,J Srinath,KN Ananthapadmanabhan,HAS Khalid,Nitin Menon,Bhavesh Patel,20,"V Puthur, RG Sharma, RD Rickelton, WG Jacks, SA Yadav, Tilak Varma, R Minz, Naman Dhir, MJ Santner, DL Chahar, TA Boult, PVSN Raju","KK Ahmed, R Ravindra, RA Tripathi, RD Gaikwad, S Dube, DJ Hooda, SM Curran, RA Jadeja, MS Dhoni, R Ashwin, Noor Ahmad, NT Ellis"
2025-03-24,2025,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,209,8,211,9,Delhi Capitals,complete,0,1,Ashutosh Sharma,V Narayan Kutty,Abhijit Bhattacharya,UV Gandhe,VK Sharma,AK Argal,20,"M Siddharth, AK Markram, MR Marsh, N Pooran, RR Pant, DA Miller, A Badoni, SN Thakur, Shahbaz Ahmed, Ravi Bishnoi, DS Rathi, Prince Yadav","Mukesh Kumar, J Fraser-McGurk, F du Plessis, Abishek Porel, Sameer Rizvi, AR Patel, T Stubbs, Ashutosh Sharma, V Nigam, MA Starc, Kuldeep Yadav, MM Sharma"
2025-03-25,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Gujarat Titans,Gujarat Titans,field,243,5,232,5,Punjab Kings,complete,11,0,SS Iyer,Prakash Bhatt,A Bengeri,Vinod Seshan,J Madanagopal,TM Srivastava,20,"Priyansh Arya, P Simran Singh, SS Iyer, Azmatullah Omarzai, GJ Maxwell, MP Stoinis, Shashank Singh, Suryansh Shedge, M Jansen, Arshdeep Singh, YS Chahal, Vijaykumar Vyshak","B Sai Sudharsan, Shubman Gill, JC Buttler, SE Rutherford, R Tewatia, M Shahrukh Khan, Arshad Khan, R Sai Kishore, Rashid Khan, K Rabada, Mohammed Siraj, M Prasidh Krishna"
2025-03-26,2025,Guwahati,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,151,9,153,2,Kolkata Knight Riders,complete,0,8,Q de Kock,Shakti Singh,A Totre,R Pandit,AT Holdstock,K Kelkar,20,"YBK Jaiswal, SV Samson, R Parag, N Rana, PWH de Silva, Dhruv Jurel, SB Dubey, SO Hetmyer, JC Archer, M Theekshana, TU Deshpande, Sandeep Sharma","CV Varun, MM Ali, Q de Kock, AM Rahane, A Raghuvanshi, VR Iyer, RK Singh, AD Russell, Ramandeep Singh, SH Johnson, VG Arora, Harshit Rana"
2025-03-27,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,190,9,193,5,Lucknow Super Giants,complete,0,5,SN Thakur,V Narayan Kutty,Abhijit Bhattacharya,UV Gandhe,VK Sharma,AK Argal,20,"TM Head, Abhishek Sharma, Ishan Kishan, Nithish Kumar Reddy, H Klaasen, Aniket Verma, A Manohar, PJ Cummins, HV Patel, Mohammed Shami, Simarjeet Singh, A Zampa","DS Rathi, MR Marsh, AK Markram, N Pooran, RR Pant, A Badoni, DA Miller, Abdul Samad, SN Thakur, Ravi Bishnoi, Prince Yadav, Avesh Khan"
2025-03-28,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,196,7,146,8,Royal Challengers Bengaluru,complete,50,0,RM Patidar,J Srinath,Nitin Menon,HAS Khalid,KN Ananthapadmanabhan,Bhavesh Patel,20,"Suyash Sharma, PD Salt, V Kohli, D Padikkal, RM Patidar, LS Livingstone, JM Sharma, TH David, KH Pandya, B Kumar, JR Hazlewood, Yash Dayal","M Pathirana, R Ravindra, RA Tripathi, RD Gaikwad, DJ Hooda, SM Curran, S Dube, RA Jadeja, R Ashwin, MS Dhoni, Noor Ahmad, KK Ahmed"
2025-03-29,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,196,8,160,6,Gujarat Titans,complete,36,0,M Prasidh Krishna,Prakash Bhatt,A Bengeri,Vinod Seshan,J Madanagopal,TM Srivastava,20,"I Sharma, B Sai Sudharsan, Shubman Gill, JC Buttler, M Shahrukh Khan, SE Rutherford, R Tewatia, Rashid Khan, K Rabada, R Sai Kishore, Mohammed Siraj, M Prasidh Krishna","PVSN Raju, RG Sharma, RD Rickelton, Tilak Varma, SA Yadav, R Minz, HH Pandya, Naman Dhir, MJ Santner, DL Chahar, TA Boult, Mujeeb Ur Rahman"
2025-03-30,2025,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,163,10,166,3,Delhi Capitals,complete,0,7,MA Starc,V Narayan Kutty,Abhijit Bhattacharya,UV Gandhe,VK Sharma,AK Argal,20,"Abhishek Sharma, TM Head, Ishan Kishan, Nithish Kumar Reddy, Aniket Verma, H Klaasen, A Manohar, PJ Cummins, PWA Mulder, HV Patel, Mohammed Shami, Zeeshan Ansari","J Fraser-McGurk, F du Plessis, Abishek Porel, KL Rahul, T Stubbs, AR Patel, V Nigam, MA Starc, Kuldeep Yadav, MM Sharma, Mukesh Kumar"
