date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2013-04-03,2013,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,129,4,128,10,Kolkata Knight Riders,complete,0,6,SP Narine,DC Boon,S Ravi,SJA Taufel,S Asnani,AS Pathania,20,"MS Bisla, G Gambhir, JH Kallis, MK Tiwary, EJG Morgan, YK Pathan, LR Shukla, R Bhatia, B Lee, SP Narine, L Balaji","UBT Chand, DA Warner, DPMD Jayawardene, MC Juneja, NV Ojha, J Botha, IK Pathan, AD Russell, S Nadeem, A Nehra, UT Yadav"
2013-04-04,2013,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,156,5,154,5,Royal Challengers Bangalore,complete,2,0,CH Gayle,AJ Pycroft,VA Kulkarni,C Shamshuddin,K Srinath,KN Ananthapadmanabhan,20,"CH Gayle, TM Dilshan, V Kohli, MA Agarwal, DT Christian, KK Nair, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, M Muralitharan","RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, Harbhajan Singh, JJ Bumrah, MG Johnson, JDP Oram, MM Patel"
2013-04-05,2013,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,126,6,104,10,Sunrisers Hyderabad,complete,22,0,A Mishra,DC Boon,S Ravi,SJA Taufel,CK Nandan,A Nand Kishore,20,"PA Reddy, PA Patel, KC Sangakkara, CL White, NLTC Perera, GH Vihari, A Ashish Reddy, DB Ravi Teja, A Mishra, DW Steyn, I Sharma","RV Uthappa, MK Pandey, MN Samuels, Yuvraj Singh, LRPL Taylor, AM Nayar, AD Mathews, MR Marsh, B Kumar, R Sharma, AB Dinda"
2013-04-06,2013,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,139,9,148,6,Mumbai Indians,complete,9,0,KA Pollard,J Srinath,M Erasmus,VA Kulkarni,K Srinath,K Srinivasan,20,"MEK Hussey, M Vijay, SK Raina, DJ Bravo, S Badrinath, MS Dhoni, RA Jadeja, R Ashwin, B Laughlin, AS Rajpoot, DP Nannes","RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, DR Smith, Harbhajan Singh, MG Johnson, MM Patel, PP Ojha"
2013-04-06,2013,Delhi,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,160,6,165,7,Rajasthan Royals,complete,5,0,R Dravid,AJ Pycroft,S Das,C Shamshuddin,AK Chaudhary,K Bharatan,20,"DA Warner, UBT Chand, DPMD Jayawardene, MC Juneja, AD Russell, J Botha, IK Pathan, NV Ojha, A Nehra, S Nadeem, UT Yadav","MDKJ Perera, AM Rahane, R Dravid, STR Binny, BJ Hodge, KK Cooper, AL Menaria, S Sreesanth, R Shukla, SK Trivedi, S Badree"
2013-04-07,2013,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,150,7,145,8,None,tie,0,0,GH Vihari,DC Boon,AK Chaudhary,S Ravi,K Srinath,A Nand Kishore,20,"PA Reddy, PA Patel, CL White, GH Vihari, KC Sangakkara, NLTC Perera, A Mishra, A Ashish Reddy, DW Steyn, Ankit Sharma, I Sharma","CH Gayle, TM Dilshan, V Kohli, KK Nair, MC Henriques, MA Agarwal, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, M Muralitharan"
2013-04-07,2013,Pune,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,99,9,100,2,Kings XI Punjab,complete,0,8,M Vohra,RS Madugalle,S Asnani,SJA Taufel,CK Nandan,PG Pathak,20,"RV Uthappa, MK Pandey, TL Suman, MN Samuels, LRPL Taylor, AD Mathews, AM Nayar, MR Marsh, B Kumar, R Sharma, AB Dinda","AC Gilchrist, Mandeep Singh, M Vohra, DJ Hussey, Azhar Mahmood, Gurkeerat Singh, R Sathish, PP Chawla, P Awana, P Kumar, RJ Harris"
2013-04-08,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,144,6,125,10,Rajasthan Royals,complete,19,0,SK Trivedi,AJ Pycroft,Aleem Dar,S Das,C Shamshuddin,Tapan Sharma,20,"SR Watson, AM Rahane, R Dravid, STR Binny, BJ Hodge, KK Cooper, DH Yagnik, S Sreesanth, SK Trivedi, SW Tait, R Shukla","MS Bisla, G Gambhir, JH Kallis, MK Tiwary, EJG Morgan, YK Pathan, LR Shukla, R Bhatia, B Lee, Mohammed Shami, SP Narine"
2013-04-09,2013,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,162,3,161,6,Royal Challengers Bangalore,complete,0,7,V Kohli,DC Boon,S Ravi,SJA Taufel,CK Nandan,KN Ananthapadmanabhan,20,"MA Agarwal, CH Gayle, V Kohli, AB de Villiers, MC Henriques, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, RP Singh, M Muralitharan","PA Reddy, PA Patel, KC Sangakkara, CL White, NLTC Perera, A Ashish Reddy, GH Vihari, BB Samantray, A Mishra, DW Steyn, I Sharma"
2013-04-09,2013,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,209,5,165,9,Mumbai Indians,complete,44,0,KD Karthik,RS Madugalle,M Erasmus,VA Kulkarni,S Asnani,RM Deshpande,20,"RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, R Dhawan, MG Johnson, PP Ojha, SL Malinga","UBT Chand, DA Warner, DPMD Jayawardene, MC Juneja, BMAJ Mendis, IK Pathan, KM Jadhav, S Nadeem, M Morkel, A Nehra, UT Yadav"
