date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2026-03-28,2026,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,201,9,203,4,Royal Challengers Bengaluru,complete,0,6,JA Duffy,J Srinath,J Madanagopal,UV Gandhe,R Pandit,A Bengeri,20,"TM Head, Abhishek Sharma, Ishan Kishan, Nithish Kumar Reddy, H Klaasen, S Arora, Aniket Verma, Harsh Dubey, HV Patel, DA Payne, JD Unadkat, E Malinga","JA Duffy, PD Salt, V Kohli, D Padikkal, RM Patidar, JM Sharma, TH David, R Shepherd, KH Pandya, B Kumar, Abhinandan Singh, Suyash Sharma"
2026-03-29,2026,Mumbai,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,220,4,224,4,Mumbai Indians,complete,0,6,SN Thakur,Shakti Singh,Anish Sahasrabudhe,MV Saidharshan Kumar,Nitin Menon,Vinod Seshan,20,"Kartik Tyagi, AM Rahane, FH Allen, C Green, A Raghuvanshi, RK Singh, Ramandeep Singh, AS Roy, SP Narine, CV Varun, VG Arora, B Muzarabani","JJ Bumrah, RD Rickelton, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, Naman Dhir, SE Rutherford, SN Thakur, M Markande, AM Ghazanfar, TA Boult"
2026-03-30,2026,Guwahati,"Barsapara Cricket Stadium, Guwahati",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,127,10,128,2,Rajasthan Royals,complete,0,8,N Burger,V Narayan Kutty,HDPK Dharmasena,M Krishnadas,VK Sharma,K Swaroopanand,20,"SV Samson, RD Gaikwad, A Mhatre, MW Short, SN Khan, Kartik Sharma, S Dube, J Overton, Noor Ahmad, MJ Henry, A Kamboj, KK Ahmed","YBK Jaiswal, V Suryavanshi, Dhruv Jurel, R Parag, SO Hetmyer, RA Jadeja, JC Archer, N Burger, Sandeep Sharma, Ravi Bishnoi, Brijesh Sharma"
2026-03-31,2026,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Gujarat Titans,Punjab Kings,Punjab Kings,field,162,6,165,7,Punjab Kings,complete,0,3,C Connolly,Prakash Bhatt,Abhijit Bhattacharya,A Totre,KN Ananthapadmanabhan,P Joshi,20,"M Prasidh Krishna, B Sai Sudharsan, Shubman Gill, JC Buttler, GD Phillips, Washington Sundar, M Shahrukh Khan, R Tewatia, Rashid Khan, K Rabada, Ashok Sharma, Mohammed Siraj","YS Chahal, Priyansh Arya, P Simran Singh, C Connolly, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, M Jansen, XC Bartlett, Vijaykumar Vyshak, Arshdeep Singh"
2026-04-01,2026,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,141,10,145,4,Delhi Capitals,complete,0,6,Sameer Rizvi,J Srinath,R Pandit,UV Gandhe,J Madanagopal,A Bengeri,20,"MR Marsh, RR Pant, AK Markram, A Badoni, N Pooran, Abdul Samad, MD Choudhary, Shahbaz Ahmed, Mohammed Shami, A Nortje, Mohsin Khan, Prince Yadav","T Natarajan, KL Rahul, P Nissanka, N Rana, Sameer Rizvi, AR Patel, T Stubbs, V Nigam, DA Miller, L Ngidi, Kuldeep Yadav, Mukesh Kumar"
2026-04-02,2026,Kolkata,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,226,8,161,10,Sunrisers Hyderabad,complete,65,0,Nithish Kumar Reddy,Shakti Singh,MV Saidharshan Kumar,Vinod Seshan,Nitin Menon,Anish Sahasrabudhe,20,"TM Head, Abhishek Sharma, Ishan Kishan, H Klaasen, Aniket Verma, Nithish Kumar Reddy, S Arora, Harsh Dubey, Shivang Kumar, JD Unadkat, DA Payne, E Malinga","FH Allen, AM Rahane, A Raghuvanshi, C Green, RK Singh, AS Roy, Ramandeep Singh, SP Narine, Kartik Tyagi, VG Arora, CV Varun, B Muzarabani"
2026-04-03,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,209,5,210,5,Punjab Kings,complete,0,5,Priyansh Arya,Prakash Bhatt,Abhijit Bhattacharya,A Totre,KN Ananthapadmanabhan,P Joshi,20,"RD Chahar, SV Samson, RD Gaikwad, A Mhatre, S Dube, Kartik Sharma, SN Khan, PR Veer, Noor Ahmad, A Kamboj, MJ Henry, KK Ahmed","YS Chahal, Priyansh Arya, P Simran Singh, C Connolly, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, M Jansen, XC Bartlett, Vijaykumar Vyshak, Arshdeep Singh"
2026-04-04,2026,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,210,6,204,8,Rajasthan Royals,complete,6,0,Ravi Bishnoi,J Srinath,R Pandit,UV Gandhe,J Madanagopal,A Bengeri,20,"Ravi Bishnoi, YBK Jaiswal, V Suryavanshi, Dhruv Jurel, R Parag, SO Hetmyer, D Ferreira, RA Jadeja, JC Archer, N Burger, TU Deshpande, Sandeep Sharma","M Prasidh Krishna, B Sai Sudharsan, Kumar Kushagra, JC Buttler, GD Phillips, Washington Sundar, R Tewatia, M Shahrukh Khan, Rashid Khan, K Rabada, Ashok Sharma, Mohammed Siraj"
2026-04-04,2026,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,162,6,164,4,Delhi Capitals,complete,0,6,Sameer Rizvi,V Narayan Kutty,HDPK Dharmasena,M Krishnadas,VK Sharma,K Swaroopanand,20,"M Markande, RD Rickelton, RG Sharma, Tilak Varma, SA Yadav, SE Rutherford, Naman Dhir, MJ Santner, C Bosch, SN Thakur, DL Chahar, JJ Bumrah","Mukesh Kumar, KL Rahul, P Nissanka, N Rana, Sameer Rizvi, DA Miller, T Stubbs, V Nigam, AR Patel, Kuldeep Yadav, L Ngidi, T Natarajan"
2026-04-05,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,156,9,160,5,Lucknow Super Giants,complete,0,5,Mohammed Shami,Shakti Singh,Anish Sahasrabudhe,MV Saidharshan Kumar,Nitin Menon,Vinod Seshan,20,"E Malinga, TM Head, Abhishek Sharma, Ishan Kishan, LS Livingstone, H Klaasen, Nithish Kumar Reddy, Aniket Verma, Harsh Dubey, Shivang Kumar, HV Patel, JD Unadkat","Mohammed Shami, AK Markram, MR Marsh, RR Pant, A Badoni, N Pooran, Abdul Samad, MD Choudhary, M Siddharth, Avesh Khan, DS Rathi, Prince Yadav"
