date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2018-04-07,2018,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,165,4,169,9,Chennai Super Kings,complete,0,1,DJ Bravo,RB Richardson,CB Gaffaney,A Nand Kishore,AK Chaudhary,UV Gandhe,20,"RG Sharma, E Lewis, Ishan Kishan, SA Yadav, HH Pandya, KH Pandya, KA Pollard, JJ Bumrah, MJ McClenaghan, Mustafizur Rahman, M Markande","SR Watson, AT Rayudu, SK Raina, KM Jadhav, MS Dhoni, RA Jadeja, DJ Bravo, DL Chahar, Harbhajan Singh, MA Wood, Imran Tahir"
2018-04-08,2018,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,166,7,167,4,Kings XI Punjab,complete,0,6,KL Rahul,J Srinath,KN Ananthapadmanabhan,RJ Tucker,Nitin Menon,N Pandit,20,"C Munro, G Gambhir, SS Iyer, V Shankar, RR Pant, R Tewatia, CH Morris, DT Christian, A Mishra, TA Boult, Mohammed Shami","KL Rahul, MA Agarwal, Yuvraj Singh, KK Nair, DA Miller, MP Stoinis, AR Patel, R Ashwin, AJ Tye, MM Sharma, Mujeeb Ur Rahman"
2018-04-08,2018,Kolkata,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,176,7,177,6,Kolkata Knight Riders,complete,0,4,SP Narine,V Narayan Kutty,A Deshmukh,C Shamshuddin,S Ravi,K Srinath,20,"BB McCullum, Q de Kock, V Kohli, AB de Villiers, SN Khan, Mandeep Singh, CR Woakes, Washington Sundar, UT Yadav, K Khejroliya, YS Chahal","SP Narine, CA Lynn, RV Uthappa, N Rana, KD Karthik, RK Singh, AD Russell, R Vinay Kumar, PP Chawla, MG Johnson, Kuldeep Yadav"
2018-04-09,2018,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,125,9,127,1,Sunrisers Hyderabad,complete,0,9,S Dhawan,S Chaturvedi,NJ Llong,VA Kulkarni,CK Nandan,R Pandit,20,"AM Rahane, DJM Short, SV Samson, BA Stokes, RA Tripathi, JC Buttler, K Gowtham, S Gopal, DS Kulkarni, JD Unadkat, B Laughlin","WP Saha, S Dhawan, KS Williamson, MK Pandey, DJ Hooda, YK Pathan, Shakib Al Hasan, Rashid Khan, B Kumar, B Stanlake, S Kaul"
2018-04-10,2018,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,202,6,205,5,Chennai Super Kings,complete,0,5,SW Billings,RB Richardson,AK Chaudhary,CB Gaffaney,A Nand Kishore,UV Gandhe,20,"CA Lynn, SP Narine, RV Uthappa, N Rana, KD Karthik, RK Singh, AD Russell, TK Curran, R Vinay Kumar, Kuldeep Yadav, PP Chawla","SR Watson, AT Rayudu, SK Raina, MS Dhoni, SW Billings, RA Jadeja, DJ Bravo, DL Chahar, Harbhajan Singh, SN Thakur, Imran Tahir"
2018-04-11,2018,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,153,5,60,4,Rajasthan Royals,complete,10,0,SV Samson,J Srinath,KN Ananthapadmanabhan,Nitin Menon,RJ Tucker,N Pandit,20,"AM Rahane, DJM Short, BA Stokes, SV Samson, JC Buttler, RA Tripathi, K Gowtham, S Gopal, DS Kulkarni, JD Unadkat, B Laughlin","GJ Maxwell, C Munro, RR Pant, CH Morris, V Shankar, SS Iyer, G Gambhir, R Tewatia, S Nadeem, TA Boult, Mohammed Shami"
2018-04-12,2018,Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,147,8,151,9,Sunrisers Hyderabad,complete,0,1,Rashid Khan,S Chaturvedi,CK Nandan,NJ Llong,VA Kulkarni,R Pandit,20,"RG Sharma, E Lewis, Ishan Kishan, SA Yadav, KH Pandya, KA Pollard, BCJ Cutting, PJ Sangwan, M Markande, JJ Bumrah, Mustafizur Rahman","WP Saha, S Dhawan, KS Williamson, MK Pandey, Shakib Al Hasan, DJ Hooda, YK Pathan, Rashid Khan, S Kaul, Sandeep Sharma, B Stanlake"
2018-04-13,2018,Bengaluru,M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,155,10,159,6,Royal Challengers Bangalore,complete,0,4,UT Yadav,V Narayan Kutty,A Deshmukh,S Ravi,C Shamshuddin,K Srinath,20,"KL Rahul, MA Agarwal, AJ Finch, Yuvraj Singh, KK Nair, MP Stoinis, AR Patel, R Ashwin, AJ Tye, MM Sharma, Mujeeb Ur Rahman","Q de Kock, BB McCullum, V Kohli, AB de Villiers, SN Khan, Mandeep Singh, CR Woakes, Washington Sundar, UT Yadav, K Khejroliya, YS Chahal"
2018-04-14,2018,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,194,7,195,3,Delhi Daredevils,complete,0,7,JJ Roy,J Srinath,KN Ananthapadmanabhan,Nitin Menon,RJ Tucker,N Pandit,20,"SA Yadav, E Lewis, Ishan Kishan, RG Sharma, KA Pollard, KH Pandya, HH Pandya, A Dananjaya, M Markande, JJ Bumrah, Mustafizur Rahman","JJ Roy, G Gambhir, RR Pant, GJ Maxwell, SS Iyer, V Shankar, DT Christian, R Tewatia, S Nadeem, Mohammed Shami, TA Boult"
2018-04-14,2018,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,138,8,139,5,Sunrisers Hyderabad,complete,0,5,B Stanlake,RB Richardson,AK Chaudhary,A Nand Kishore,CB Gaffaney,UV Gandhe,20,"RV Uthappa, CA Lynn, N Rana, SP Narine, KD Karthik, AD Russell, Shubman Gill, Shivam Mavi, MG Johnson, PP Chawla, Kuldeep Yadav","WP Saha, S Dhawan, KS Williamson, MK Pandey, Shakib Al Hasan, DJ Hooda, YK Pathan, B Kumar, Rashid Khan, S Kaul, B Stanlake"
