date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2010-03-12,2009/10,Mumbai,Dr DY Patil Sports Academy,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,150,7,161,4,Kolkata Knight Riders,complete,11,0,AD Mathews,AJ Pycroft,RE Koertzen,RB Tiffin,BG Jerling,SN Bandekar,20,"AC Gilchrist, VVS Laxman, HH Gibbs, A Symonds, RG Sharma, Anirudh Singh, TL Suman, WPUJC Vaas, Jaskaran Singh, RP Singh, PP Ojha","MK Tiwary, BJ Hodge, SC Ganguly, CA Pujara, OA Shah, AD Mathews, WP Saha, LR Shukla, M Kartik, CK Langeveldt, I Sharma"
2010-03-13,2009/10,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,142,9,146,5,Delhi Daredevils,complete,0,5,G Gambhir,S Venkataraghavan,BR Doctrove,S Ravi,SK Tarapore,C Shamshuddin,20,"RS Bopara, MS Bisla, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, M Kaif, PP Chawla, RR Powar, S Sreesanth, YA Abdulla","G Gambhir, V Sehwag, TM Dilshan, AB de Villiers, KD Karthik, M Manhas, MF Maharoof, A Mishra, PJ Sangwan, VY Mahesh, DP Nannes"
2010-03-13,2009/10,Mumbai,Brabourne Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,212,7,208,7,Mumbai Indians,complete,4,0,YK Pathan,AJ Pycroft,RE Koertzen,RB Tiffin,BG Jerling,VM Bandiwadekar,20,"ST Jayasuriya, SR Tendulkar, AP Tare, SS Tiwary, AT Rayudu, R Sathish, Harbhajan Singh, R McLaren, Z Khan, SL Malinga, AG Murtaza","GC Smith, SA Asnodkar, NV Ojha, AA Jhunjhunwala, YK Pathan, P Dogra, AD Mascarenhas, A Uniyal, SK Warne, Kamran Khan, SW Tait"
2010-03-14,2009/10,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,136,3,135,7,Kolkata Knight Riders,complete,0,7,MK Tiwary,Yashpal Sharma,HDPK Dharmasena,AM Saheba,M Erasmus,R Shankar,20,"BJ Hodge, MK Tiwary, SC Ganguly, CA Pujara, OA Shah, RS Gavaskar, AD Mathews, WP Saha, M Kartik, CK Langeveldt, I Sharma","JH Kallis, SP Goswami, MK Pandey, V Kohli, EJG Morgan, R Dravid, RV Uthappa, RE van der Merwe, P Kumar, A Kumble, DW Steyn"
2010-03-14,2009/10,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,159,9,190,4,Deccan Chargers,complete,31,0,WPUJC Vaas,D Govindjee,K Hariharan,DJ Harper,S Das,J Madanagopal,20,"M Vijay, ML Hayden, SK Raina, S Badrinath, JM Kemp, MS Dhoni, JA Morkel, R Ashwin, L Balaji, M Muralitharan, S Tyagi","AC Gilchrist, VVS Laxman, HH Gibbs, A Symonds, RG Sharma, TL Suman, Anirudh Singh, WPUJC Vaas, Jaskaran Singh, RP Singh, PP Ojha"
2010-03-15,2009/10,Ahmedabad,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,141,6,142,4,Delhi Daredevils,complete,0,6,V Sehwag,AJ Pycroft,BG Jerling,RE Koertzen,RB Tiffin,S Dua,20,"SA Asnodkar, GC Smith, NV Ojha, YK Pathan, AA Jhunjhunwala, P Dogra, AD Mascarenhas, A Uniyal, SK Warne, SW Tait, MM Patel","G Gambhir, V Sehwag, TM Dilshan, AB de Villiers, KD Karthik, M Manhas, MF Maharoof, A Mishra, S Ladda, PJ Sangwan, DP Nannes"
2010-03-16,2009/10,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,204,2,203,3,Royal Challengers Bangalore,complete,0,8,JH Kallis,D Govindjee,S Das,DJ Harper,K Hariharan,KN Ananthapadmanabhan,20,"MK Pandey, JH Kallis, RV Uthappa, V Kohli, R Dravid, EJG Morgan, MV Boucher, P Kumar, A Kumble, DW Steyn, R Vinay Kumar","RS Bopara, MS Bisla, Yuvraj Singh, DPMD Jayawardene, IK Pathan, KC Sangakkara, M Kaif, PP Chawla, Bipul Sharma, YA Abdulla, S Sreesanth"
2010-03-16,2009/10,Kolkata,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,109,10,164,3,Chennai Super Kings,complete,55,0,MS Dhoni,Yashpal Sharma,HDPK Dharmasena,AM Saheba,M Erasmus,R Shankar,20,"BJ Hodge, MK Tiwary, SC Ganguly, WP Saha, OA Shah, AD Mathews, LR Shukla, RS Gavaskar, SE Bond, M Kartik, I Sharma","M Vijay, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JM Kemp, JA Morkel, R Ashwin, L Balaji, M Muralitharan, MS Gony"
2010-03-17,2009/10,Delhi,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,120,9,218,7,Mumbai Indians,complete,98,0,SR Tendulkar,S Venkataraghavan,BR Doctrove,SK Tarapore,S Ravi,AK Chaudhary,20,"TM Dilshan, V Sehwag, AB de Villiers, MF Maharoof, KD Karthik, M Manhas, A Mishra, PJ Sangwan, S Ladda, DP Nannes, G Gambhir","ST Jayasuriya, SR Tendulkar, AP Tare, SS Tiwary, AT Rayudu, KA Pollard, DJ Bravo, R Sathish, Harbhajan Singh, Z Khan, SL Malinga"
2010-03-18,2009/10,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,93,0,92,10,Royal Challengers Bangalore,complete,0,10,JH Kallis,D Govindjee,K Hariharan,DJ Harper,S Das,KN Ananthapadmanabhan,20,"MK Pandey, JH Kallis, RV Uthappa, V Kohli, R Dravid, EJG Morgan, MV Boucher, P Kumar, A Kumble, DW Steyn, R Vinay Kumar","NV Ojha, MJ Lumb, DR Martyn, AA Jhunjhunwala, YK Pathan, P Dogra, S Narwal, SK Warne, M Morkel, MM Patel, SK Trivedi"
2010-03-19,2009/10,Cuttack,Barabati Stadium,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,170,8,164,8,Deccan Chargers,complete,6,0,A Symonds,GR Viswanath,BF Bowden,M Erasmus,AM Saheba,BK Ravi,20,"AC Gilchrist, VVS Laxman, HH Gibbs, A Symonds, RG Sharma, Anirudh Singh, TL Suman, WPUJC Vaas, Jaskaran Singh, RP Singh, PP Ojha","RS Bopara, MS Bisla, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, AB Barath, IK Pathan, PP Chawla, Bipul Sharma, S Sreesanth, SJ Srivastava"
2010-03-19,2009/10,Delhi,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,185,6,190,5,Chennai Super Kings,complete,0,5,ML Hayden,S Venkataraghavan,BR Doctrove,SK Tarapore,S Ravi,AK Chaudhary,20,"DA Warner, V Sehwag, TM Dilshan, KD Karthik, AB de Villiers, M Manhas, R Bhatia, A Mishra, PJ Sangwan, DP Nannes, UT Yadav","PA Patel, ML Hayden, S Badrinath, SK Raina, JA Morkel, JM Kemp, M Vijay, R Ashwin, L Balaji, M Muralitharan, Joginder Sharma"
