date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2022-03-26,2022,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,131,5,133,4,Kolkata Knight Riders,complete,0,6,UT Yadav,M Nayyar,AK Chaudhary,Nitin Menon,VK Sharma,Chirra Ravikanthreddy,20,"RD Gaikwad, DP Conway, RV Uthappa, AT Rayudu, RA Jadeja, S Dube, MS Dhoni, DJ Bravo, MJ Santner, AF Milne, TU Deshpande","AM Rahane, VR Iyer, N Rana, SS Iyer, SW Billings, SP Jackson, AD Russell, SP Narine, UT Yadav, Shivam Mavi, CV Varun"
2022-03-27,2022,Mumbai,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,177,5,179,6,Delhi Capitals,complete,0,4,Kuldeep Yadav,Prakash Bhatt,RJ Tucker,HAS Khalid,J Madanagopal,N Pandit,20,"RG Sharma, Ishan Kishan, Anmolpreet Singh, Tilak Varma, KA Pollard, TH David, DR Sams, M Ashwin, TS Mills, JJ Bumrah, Basil Thampi","PP Shaw, TL Seifert, Mandeep Singh, RR Pant, Lalit Yadav, R Powell, SN Thakur, AR Patel, Kuldeep Yadav, KK Ahmed, KL Nagarkoti"
2022-03-27,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,205,2,208,5,Punjab Kings,complete,0,5,OF Smith,M Nayyar,Nitin Menon,YC Barde,AK Chaudhary,R Pandit,20,"F du Plessis, Anuj Rawat, V Kohli, KD Karthik, SE Rutherford, DJ Willey, Shahbaz Ahmed, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep","MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, RA Bawa, M Shahrukh Khan, OF Smith, Harpreet Brar, Arshdeep Singh, Sandeep Sharma, RD Chahar"
2022-03-28,2022,Mumbai,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,158,6,161,5,Gujarat Titans,complete,0,5,Mohammed Shami,DS Manohar,PG Pathak,VK Sharma,RJ Tucker,GR Sadashiv Iyer,20,"KL Rahul, Q de Kock, E Lewis, MK Pandey, DJ Hooda, A Badoni, KH Pandya, PVD Chameera, Mohsin Khan, Ravi Bishnoi, Avesh Khan","Shubman Gill, MS Wade, V Shankar, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, LH Ferguson, Mohammed Shami, VR Aaron"
2022-03-29,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,210,6,149,7,Rajasthan Royals,complete,61,0,SV Samson,Shakti Singh,BNJ Oxenford,UV Gandhe,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"JC Buttler, YBK Jaiswal, SV Samson, D Padikkal, SO Hetmyer, R Parag, NM Coulter-Nile, R Ashwin, YS Chahal, TA Boult, M Prasidh Krishna","KS Williamson, Abhishek Sharma, RA Tripathi, N Pooran, AK Markram, Abdul Samad, R Shepherd, Washington Sundar, B Kumar, Umran Malik, T Natarajan"
2022-03-30,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,128,10,132,7,Royal Challengers Bangalore,complete,0,3,PWH de Silva,M Nayyar,J Madanagopal,Navdeep Singh,Nitin Menon,Chirra Ravikanthreddy,20,"AM Rahane, VR Iyer, SS Iyer, N Rana, SP Narine, SW Billings, SP Jackson, AD Russell, TG Southee, UT Yadav, CV Varun","F du Plessis, Anuj Rawat, V Kohli, DJ Willey, SE Rutherford, Shahbaz Ahmed, KD Karthik, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep"
2022-03-31,2022,Mumbai,"Brabourne Stadium, Mumbai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,210,7,211,4,Lucknow Super Giants,complete,0,6,E Lewis,J Srinath,RJ Tucker,VK Sharma,YC Barde,NA Patwardhan,20,"RV Uthappa, RD Gaikwad, MM Ali, S Dube, AT Rayudu, RA Jadeja, MS Dhoni, D Pretorius, DJ Bravo, TU Deshpande, Mukesh Choudhary","KL Rahul, Q de Kock, MK Pandey, E Lewis, DJ Hooda, A Badoni, KH Pandya, PVD Chameera, AJ Tye, Ravi Bishnoi, Avesh Khan"
2022-04-01,2022,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,137,10,141,4,Kolkata Knight Riders,complete,0,6,UT Yadav,Prakash Bhatt,AK Chaudhary,HAS Khalid,J Madanagopal,A Totre,20,"MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, RA Bawa, M Shahrukh Khan, Harpreet Brar, OF Smith, RD Chahar, K Rabada, Arshdeep Singh","AM Rahane, VR Iyer, SS Iyer, SW Billings, N Rana, AD Russell, SP Narine, TG Southee, UT Yadav, CV Varun, Shivam Mavi"
2022-04-02,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,171,6,157,9,Gujarat Titans,complete,14,0,LH Ferguson,Shakti Singh,KN Ananthapadmanabhan,UV Gandhe,BNJ Oxenford,Vinod Seshan,20,"MS Wade, Shubman Gill, V Shankar, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, VR Aaron, LH Ferguson, Mohammed Shami","PP Shaw, TL Seifert, Mandeep Singh, RR Pant, Lalit Yadav, R Powell, AR Patel, SN Thakur, Kuldeep Yadav, KK Ahmed, Mustafizur Rahman"
2022-04-02,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,193,8,170,8,Rajasthan Royals,complete,23,0,JC Buttler,DS Manohar,Nitin Menon,PG Pathak,VK Sharma,N Pandit,20,"JC Buttler, YBK Jaiswal, D Padikkal, SV Samson, SO Hetmyer, R Parag, R Ashwin, Navdeep Saini, TA Boult, YS Chahal, M Prasidh Krishna","Ishan Kishan, RG Sharma, Anmolpreet Singh, Tilak Varma, KA Pollard, TH David, DR Sams, M Ashwin, JJ Bumrah, TS Mills, Basil Thampi"
2022-04-03,2022,Mumbai,"Brabourne Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,180,8,126,10,Punjab Kings,complete,54,0,LS Livingstone,J Srinath,RJ Tucker,YC Barde,AK Chaudhary,R Pandit,20,"MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, JM Sharma, M Shahrukh Khan, OF Smith, K Rabada, RD Chahar, VG Arora, Arshdeep Singh","RV Uthappa, RD Gaikwad, MM Ali, AT Rayudu, RA Jadeja, S Dube, MS Dhoni, DJ Bravo, D Pretorius, CJ Jordan, Mukesh Choudhary"
2022-04-04,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,169,7,157,9,Lucknow Super Giants,complete,12,0,Avesh Khan,M Nayyar,J Madanagopal,Navdeep Singh,VK Sharma,GR Sadashiv Iyer,20,"KL Rahul, Q de Kock, E Lewis, MK Pandey, DJ Hooda, A Badoni, KH Pandya, JO Holder, AJ Tye, Ravi Bishnoi, Avesh Khan","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Washington Sundar, Abdul Samad, R Shepherd, B Kumar, Umran Malik, T Natarajan"
2022-04-05,2022,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,169,3,173,6,Royal Challengers Bangalore,complete,0,4,KD Karthik,Prakash Bhatt,AK Chaudhary,HAS Khalid,Nitin Menon,NA Patwardhan,20,"JC Buttler, YBK Jaiswal, D Padikkal, SV Samson, SO Hetmyer, R Parag, R Ashwin, Navdeep Saini, TA Boult, YS Chahal, M Prasidh Krishna","F du Plessis, Anuj Rawat, V Kohli, DJ Willey, SE Rutherford, Shahbaz Ahmed, KD Karthik, HV Patel, PWH de Silva, Mohammed Siraj, Akash Deep"
2022-04-06,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,161,4,162,5,Kolkata Knight Riders,complete,0,5,PJ Cummins,V Narayan Kutty,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,MV Saidharshan Kumar,20,"RG Sharma, Ishan Kishan, D Brevis, SA Yadav, Tilak Varma, KA Pollard, DR Sams, M Ashwin, TS Mills, JJ Bumrah, Basil Thampi","AM Rahane, VR Iyer, SS Iyer, SW Billings, N Rana, AD Russell, PJ Cummins, SP Narine, Rasikh Salam, UT Yadav, CV Varun"
2022-04-07,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,149,3,155,4,Lucknow Super Giants,complete,0,6,Q de Kock,Shakti Singh,RJ Tucker,Tapan Sharma,J Madanagopal,A Totre,20,"PP Shaw, DA Warner, R Powell, RR Pant, SN Khan, Lalit Yadav, AR Patel, SN Thakur, Kuldeep Yadav, Mustafizur Rahman, A Nortje","KL Rahul, Q de Kock, E Lewis, DJ Hooda, KH Pandya, A Badoni, K Gowtham, JO Holder, Avesh Khan, AJ Tye, Ravi Bishnoi"
2022-04-08,2022,Mumbai,"Brabourne Stadium, Mumbai",Punjab Kings,Gujarat Titans,Gujarat Titans,field,189,9,190,4,Gujarat Titans,complete,0,6,Shubman Gill,J Srinath,AK Chaudhary,VK Sharma,PG Pathak,Chirra Ravikanthreddy,20,"MA Agarwal, S Dhawan, JM Bairstow, LS Livingstone, JM Sharma, OF Smith, M Shahrukh Khan, K Rabada, RD Chahar, VG Arora, Arshdeep Singh","MS Wade, Shubman Gill, B Sai Sudharsan, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, DG Nalkande, Mohammed Shami, LH Ferguson"
2022-04-09,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,151,6,152,3,Royal Challengers Bangalore,complete,0,7,Anuj Rawat,V Narayan Kutty,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,Vinod Seshan,20,"Ishan Kishan, RG Sharma, D Brevis, SA Yadav, Tilak Varma, KA Pollard, Ramandeep Singh, JD Unadkat, M Ashwin, JJ Bumrah, Basil Thampi","F du Plessis, Anuj Rawat, V Kohli, KD Karthik, GJ Maxwell, DJ Willey, Shahbaz Ahmed, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep"
2022-04-09,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,154,7,155,2,Sunrisers Hyderabad,complete,0,8,Abhishek Sharma,J Srinath,Navdeep Singh,Nitin Menon,YC Barde,N Pandit,20,"RV Uthappa, RD Gaikwad, MM Ali, AT Rayudu, S Dube, RA Jadeja, MS Dhoni, DJ Bravo, CJ Jordan, M Theekshana, Mukesh Choudhary","Abhishek Sharma, KS Williamson, RA Tripathi, N Pooran, AK Markram, Shashank Singh, Washington Sundar, B Kumar, M Jansen, Umran Malik, T Natarajan"
2022-04-10,2022,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,165,6,162,8,Rajasthan Royals,complete,3,0,YS Chahal,J Srinath,AK Chaudhary,Tapan Sharma,PG Pathak,GR Sadashiv Iyer,20,"JC Buttler, D Padikkal, SV Samson, HE van der Dussen, SO Hetmyer, R Ashwin, R Parag, TA Boult, YS Chahal, KR Sen, M Prasidh Krishna","KL Rahul, Q de Kock, K Gowtham, JO Holder, DJ Hooda, A Badoni, KH Pandya, MP Stoinis, PVD Chameera, Avesh Khan, Ravi Bishnoi"
2022-04-10,2022,Mumbai,"Brabourne Stadium, Mumbai",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,215,5,171,10,Delhi Capitals,complete,44,0,Kuldeep Yadav,Prakash Bhatt,CB Gaffaney,J Madanagopal,HAS Khalid,R Pandit,20,"PP Shaw, DA Warner, RR Pant, Lalit Yadav, R Powell, AR Patel, SN Thakur, SN Khan, Kuldeep Yadav, Mustafizur Rahman, KK Ahmed","AM Rahane, VR Iyer, SS Iyer, N Rana, AD Russell, SW Billings, PJ Cummins, SP Narine, UT Yadav, Rasikh Salam, CV Varun"
2022-04-11,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,162,7,168,3,Sunrisers Hyderabad,complete,0,8,KS Williamson,DS Manohar,Chirra Ravikanthreddy,RJ Tucker,VK Sharma,NA Patwardhan,20,"MS Wade, Shubman Gill, B Sai Sudharsan, HH Pandya, DA Miller, A Manohar, R Tewatia, Rashid Khan, DG Nalkande, Mohammed Shami, LH Ferguson","Abhishek Sharma, KS Williamson, RA Tripathi, N Pooran, AK Markram, Shashank Singh, Washington Sundar, M Jansen, B Kumar, T Natarajan, Umran Malik"
2022-04-12,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,216,4,193,9,Chennai Super Kings,complete,23,0,S Dube,J Srinath,Nitin Menon,N Pandit,YC Barde,A Totre,20,"RD Gaikwad, RV Uthappa, MM Ali, S Dube, RA Jadeja, MS Dhoni, AT Rayudu, DJ Bravo, CJ Jordan, M Theekshana, Mukesh Choudhary","F du Plessis, Anuj Rawat, V Kohli, GJ Maxwell, Shahbaz Ahmed, SS Prabhudessai, KD Karthik, PWH de Silva, Akash Deep, Mohammed Siraj, JR Hazlewood"
2022-04-13,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,Mumbai Indians,Mumbai Indians,field,198,5,186,9,Punjab Kings,complete,12,0,MA Agarwal,V Narayan Kutty,BNJ Oxenford,UV Gandhe,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"MA Agarwal, S Dhawan, JM Bairstow, LS Livingstone, JM Sharma, M Shahrukh Khan, OF Smith, K Rabada, RD Chahar, VG Arora, Arshdeep Singh","RG Sharma, Ishan Kishan, D Brevis, Tilak Varma, SA Yadav, KA Pollard, JD Unadkat, M Ashwin, JJ Bumrah, TS Mills, Basil Thampi"
2022-04-14,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,192,4,155,9,Gujarat Titans,complete,37,0,HH Pandya,M Nayyar,CB Gaffaney,R Pandit,J Madanagopal,Tapan Sharma,20,"MS Wade, Shubman Gill, V Shankar, HH Pandya, A Manohar, DA Miller, R Tewatia, Rashid Khan, Mohammed Shami, LH Ferguson, Yash Dayal","JC Buttler, D Padikkal, R Ashwin, SV Samson, HE van der Dussen, SO Hetmyer, R Parag, JDS Neesham, M Prasidh Krishna, YS Chahal, KR Sen"
2022-04-15,2022,Mumbai,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,175,8,176,3,Sunrisers Hyderabad,complete,0,7,RA Tripathi,Prakash Bhatt,GR Sadashiv Iyer,VK Sharma,HAS Khalid,PG Pathak,20,"VR Iyer, AJ Finch, SS Iyer, SP Narine, N Rana, SP Jackson, AD Russell, PJ Cummins, Aman Hakim Khan, UT Yadav, CV Varun","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Shashank Singh, J Suchith, M Jansen, B Kumar, T Natarajan, Umran Malik"
