date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2017-04-17,2017,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,168,7,169,6,Kolkata Knight Riders,complete,0,4,NM Coulter-Nile,S Chaturvedi,Nitin Menon,CK Nandan,YC Barde,K Srinivasan,20,"SV Samson, SW Billings, KK Nair, SS Iyer, RR Pant, AD Mathews, CH Morris, PJ Cummins, Mohammed Shami, A Mishra, Z Khan","G Gambhir, C de Grandhomme, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, CR Woakes, SP Narine, NM Coulter-Nile, Kuldeep Yadav, UT Yadav"
2017-04-17,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,159,6,154,10,Sunrisers Hyderabad,complete,5,0,B Kumar,AJ Pycroft,AY Dandekar,A Deshmukh,NJ Llong,N Pandit,20,"DA Warner, S Dhawan, MC Henriques, Yuvraj Singh, NV Ojha, DJ Hooda, Mohammad Nabi, Rashid Khan, B Kumar, BB Sran, S Kaul","HM Amla, M Vohra, GJ Maxwell, EJG Morgan, DA Miller, WP Saha, AR Patel, MM Sharma, KC Cariappa, I Sharma, Sandeep Sharma"
2017-04-18,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,192,7,213,2,Royal Challengers Bangalore,complete,21,0,CH Gayle,J Srinath,S Ravi,VK Sharma,A Nand Kishore,Navdeep Singh,20,"DR Smith, BB McCullum, SK Raina, AJ Finch, KD Karthik, RA Jadeja, Ishan Kishan, AJ Tye, Basil Thampi, DS Kulkarni, S Kaushik","CH Gayle, V Kohli, TM Head, KM Jadhav, SR Watson, Mandeep Singh, STR Binny, P Negi, AF Milne, S Aravind, YS Chahal"
2017-04-19,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,191,4,176,5,Sunrisers Hyderabad,complete,15,0,KS Williamson,M Nayyar,CB Gaffaney,NJ Llong,AY Dandekar,N Pandit,20,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, DJ Hooda, NV Ojha, B Kumar, Rashid Khan, Mohammed Siraj, S Kaul","SV Samson, SW Billings, KK Nair, RR Pant, SS Iyer, AD Mathews, CH Morris, J Yadav, PJ Cummins, A Mishra, Z Khan"
2017-04-20,2017,Indore,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,198,4,199,2,Mumbai Indians,complete,0,8,JC Buttler,AJ Pycroft,M Erasmus,C Shamshuddin,AK Chaudhary,R Pandit,20,"HM Amla, SE Marsh, WP Saha, GJ Maxwell, MP Stoinis, AR Patel, Gurkeerat Singh, Swapnil Singh, MM Sharma, Sandeep Sharma, I Sharma","PA Patel, JC Buttler, N Rana, HH Pandya, RG Sharma, KA Pollard, KH Pandya, Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah"
2017-04-21,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,187,5,188,6,Gujarat Lions,complete,0,4,SK Raina,V Narayan Kutty,CB Gaffaney,Nitin Menon,CK Nandan,K Srinivasan,20,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, Shakib Al Hasan, CR Woakes, NM Coulter-Nile, Kuldeep Yadav, UT Yadav","AJ Finch, BB McCullum, SK Raina, KD Karthik, Ishan Kishan, DR Smith, RA Jadeja, JP Faulkner, P Kumar, Basil Thampi, DS Kulkarni"
2017-04-22,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,142,8,128,7,Mumbai Indians,complete,14,0,MJ McClenaghan,J Srinath,A Nand Kishore,S Ravi,KN Ananthapadmanabhan,Navdeep Singh,20,"PA Patel, JC Buttler, N Rana, RG Sharma, KA Pollard, KH Pandya, HH Pandya, Harbhajan Singh, MJ McClenaghan, MG Johnson, JJ Bumrah","SV Samson, AP Tare, KK Nair, SS Iyer, CJ Anderson, RR Pant, K Rabada, CH Morris, PJ Cummins, A Mishra, Z Khan"
2017-04-22,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,179,4,176,3,Rising Pune Supergiant,complete,0,6,MS Dhoni,M Nayyar,AY Dandekar,A Deshmukh,NJ Llong,N Pandit,20,"AM Rahane, RA Tripathi, SPD Smith, MS Dhoni, BA Stokes, MK Tiwary, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir","DA Warner, S Dhawan, KS Williamson, MC Henriques, DJ Hooda, NV Ojha, Bipul Sharma, B Kumar, Rashid Khan, Mohammed Siraj, S Kaul"
2017-04-23,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,162,7,188,7,Kings XI Punjab,complete,26,0,HM Amla,Chinmay Sharma,AK Chaudhary,M Erasmus,C Shamshuddin,R Pandit,20,"BB McCullum, AJ Finch, SK Raina, KD Karthik, RA Jadeja, DR Smith, AD Nath, AJ Tye, Basil Thampi, SS Agarwal, NB Singh","M Vohra, HM Amla, SE Marsh, GJ Maxwell, MP Stoinis, AR Patel, WP Saha, MM Sharma, KC Cariappa, T Natarajan, Sandeep Sharma"
2017-04-23,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,131,10,49,10,Kolkata Knight Riders,complete,82,0,NM Coulter-Nile,V Narayan Kutty,CB Gaffaney,CK Nandan,Nitin Menon,K Srinivasan,20,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, C de Grandhomme, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav","CH Gayle, V Kohli, Mandeep Singh, AB de Villiers, KM Jadhav, STR Binny, P Negi, S Badree, TS Mills, S Aravind, YS Chahal"
