date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2019-03-23,2019,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,70,10,71,3,Chennai Super Kings,complete,0,7,Harbhajan Singh,J Srinath,AY Dandekar,BNJ Oxenford,Nitin Menon,HAS Khalid,20,"V Kohli, PA Patel, MM Ali, AB de Villiers, SO Hetmyer, S Dube, C de Grandhomme, Navdeep Saini, YS Chahal, UT Yadav, Mohammed Siraj","SR Watson, AT Rayudu, SK Raina, KM Jadhav, RA Jadeja, MS Dhoni, DJ Bravo, DL Chahar, SN Thakur, Harbhajan Singh, Imran Tahir"
2019-03-24,2019,Mumbai,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,213,6,176,9,Delhi Capitals,complete,37,0,RR Pant,M Nayyar,S Ravi,YC Barde,CK Nandan,BK Ravi,20,"PP Shaw, S Dhawan, SS Iyer, CA Ingram, RR Pant, KMA Paul, AR Patel, R Tewatia, K Rabada, TA Boult, I Sharma","RG Sharma, Q de Kock, SA Yadav, Yuvraj Singh, KA Pollard, HH Pandya, KH Pandya, BCJ Cutting, MJ McClenaghan, Rasikh Salam, JJ Bumrah"
2019-03-24,2019,Kolkata,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,181,3,183,4,Kolkata Knight Riders,complete,0,6,AD Russell,V Narayan Kutty,AK Chaudhary,CB Gaffaney,VA Kulkarni,GR Sadashiv Iyer,20,"DA Warner, JM Bairstow, V Shankar, YK Pathan, MK Pandey, DJ Hooda, Shakib Al Hasan, Rashid Khan, B Kumar, Sandeep Sharma, S Kaul","CA Lynn, N Rana, RV Uthappa, KD Karthik, AD Russell, Shubman Gill, SP Narine, PP Chawla, Kuldeep Yadav, LH Ferguson, M Prasidh Krishna"
2019-03-25,2019,Jaipur,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,184,4,170,9,Kings XI Punjab,complete,14,0,CH Gayle,Chinmay Sharma,C Shamshuddin,KN Ananthapadmanabhan,BNJ Oxenford,K Srinath,20,"KL Rahul, CH Gayle, MA Agarwal, SN Khan, N Pooran, Mandeep Singh, SM Curran, R Ashwin, Mohammed Shami, Mujeeb Ur Rahman, AS Rajpoot","AM Rahane, JC Buttler, SV Samson, SPD Smith, BA Stokes, RA Tripathi, K Gowtham, JC Archer, JD Unadkat, S Gopal, DS Kulkarni"
2019-03-26,2019,Delhi,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,147,6,150,4,Chennai Super Kings,complete,0,6,SR Watson,J Srinath,M Erasmus,Nitin Menon,AY Dandekar,HAS Khalid,20,"PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, KMA Paul, AR Patel, R Tewatia, K Rabada, I Sharma, A Mishra","SR Watson, AT Rayudu, SK Raina, KM Jadhav, MS Dhoni, DJ Bravo, RA Jadeja, DL Chahar, SN Thakur, Harbhajan Singh, Imran Tahir"
2019-03-27,2019,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,218,4,190,4,Kolkata Knight Riders,complete,28,0,AD Russell,V Narayan Kutty,AK Chaudhary,VA Kulkarni,CB Gaffaney,GR Sadashiv Iyer,20,"CA Lynn, SP Narine, RV Uthappa, N Rana, AD Russell, KD Karthik, Shubman Gill, PP Chawla, Kuldeep Yadav, M Prasidh Krishna, LH Ferguson","KL Rahul, CH Gayle, MA Agarwal, SN Khan, DA Miller, Mandeep Singh, R Ashwin, GC Viljoen, CV Varun, Mohammed Shami, AJ Tye"
2019-03-28,2019,Bengaluru,M.Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,187,8,181,5,Mumbai Indians,complete,6,0,JJ Bumrah,M Nayyar,CK Nandan,S Ravi,YC Barde,BK Ravi,20,"Q de Kock, RG Sharma, SA Yadav, Yuvraj Singh, KA Pollard, KH Pandya, HH Pandya, MJ McClenaghan, M Markande, JJ Bumrah, SL Malinga","PA Patel, MM Ali, V Kohli, AB de Villiers, SO Hetmyer, C de Grandhomme, S Dube, Navdeep Saini, YS Chahal, UT Yadav, Mohammed Siraj"
2019-03-29,2019,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,198,2,201,5,Sunrisers Hyderabad,complete,0,5,Rashid Khan,Chinmay Sharma,BNJ Oxenford,C Shamshuddin,KN Ananthapadmanabhan,K Srinath,20,"AM Rahane, JC Buttler, SV Samson, BA Stokes, SPD Smith, RA Tripathi, K Gowtham, JC Archer, JD Unadkat, S Gopal, DS Kulkarni","DA Warner, JM Bairstow, KS Williamson, V Shankar, MK Pandey, YK Pathan, Rashid Khan, B Kumar, Sandeep Sharma, S Kaul, S Nadeem"
2019-03-30,2019,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,192,9,195,7,None,tie,0,0,PP Shaw,J Srinath,AY Dandekar,Nitin Menon,M Erasmus,HAS Khalid,20,"NS Naik, CA Lynn, RV Uthappa, N Rana, KD Karthik, Shubman Gill, AD Russell, PP Chawla, Kuldeep Yadav, M Prasidh Krishna, LH Ferguson","PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, GH Vihari, HV Patel, CH Morris, A Mishra, S Lamichhane, K Rabada"
2019-03-30,2019,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,176,7,177,2,Kings XI Punjab,complete,0,8,MA Agarwal,V Narayan Kutty,CB Gaffaney,VA Kulkarni,AK Chaudhary,GR Sadashiv Iyer,20,"RG Sharma, Q de Kock, SA Yadav, Yuvraj Singh, KA Pollard, HH Pandya, KH Pandya, MJ McClenaghan, M Markande, SL Malinga, JJ Bumrah","KL Rahul, CH Gayle, MA Agarwal, DA Miller, SN Khan, Mandeep Singh, R Ashwin, GC Viljoen, M Ashwin, Mohammed Shami, AJ Tye"
