date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2009-04-18,2009,Cape Town,Newlands,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,146,7,165,7,Mumbai Indians,complete,19,0,SR Tendulkar,GR Viswanath,BR Doctrove,K Hariharan,RB Tiffin,EC Hendrikse,20,"PA Patel, ML Hayden, SK Raina, A Flintoff, MS Dhoni, JDP Oram, S Badrinath, Joginder Sharma, T Thushara, MS Gony, R Ashwin","ST Jayasuriya, SR Tendulkar, S Dhawan, JP Duminy, DJ Bravo, AM Nayar, Harbhajan Singh, Z Khan, PR Shah, SL Malinga, RR Raje"
2009-04-18,2009,Cape Town,Newlands,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,133,8,58,10,Royal Challengers Bangalore,complete,75,0,R Dravid,GR Viswanath,BR Doctrove,RB Tiffin,K Hariharan,EC Hendrikse,20,"JD Ryder, RV Uthappa, LRPL Taylor, KP Pietersen, R Dravid, V Kohli, B Akhil, P Kumar, R Vinay Kumar, DW Steyn, A Kumble","GC Smith, SA Asnodkar, NK Patel, T Henderson, YK Pathan, AD Mascarenhas, RA Jadeja, SK Warne, M Rawat, MM Patel, Kamran Khan"
2009-04-19,2009,Cape Town,Newlands,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,58,0,104,7,Delhi Daredevils,complete,0,10,DL Vettori,Yashpal Sharma,MR Benson,SD Ranade,AL Hill,MW Brown,20,"G Gambhir, V Sehwag, TM Dilshan, AB de Villiers, MK Tiwary, KD Karthik, DP Nannes, DL Vettori, VY Mahesh, AM Salvi, PJ Sangwan","RS Bopara, K Goel, Yuvraj Singh, KC Sangakkara, DPMD Jayawardene, IK Pathan, PP Chawla, T Kohli, VS Malik, VRV Singh, YA Abdulla"
2009-04-19,2009,Cape Town,Newlands,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,104,2,101,10,Deccan Chargers,complete,0,8,RP Singh,Yashpal Sharma,MR Benson,BR Doctrove,SD Ranade,MW Brown,20,"AC Gilchrist, HH Gibbs, VVS Laxman, RG Sharma, SB Styris, Y Venugopal Rao, Harmeet Singh, PP Ojha, RP Singh, DB Ravi Teja, FH Edwards","BB McCullum, CH Gayle, SC Ganguly, BJ Hodge, A Chopra, LR Shukla, MC Henriques, AB Agarkar, M Kartik, I Sharma, AB Dinda"
2009-04-20,2009,Port Elizabeth,St George's Park,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,87,10,179,5,Chennai Super Kings,complete,92,0,M Muralitharan,GR Viswanath,BG Jerling,SJA Taufel,RB Tiffin,S George,20,"P Kumar, RV Uthappa, JH Kallis, LRPL Taylor, KP Pietersen, R Dravid, V Kohli, R Bishnoi, R Vinay Kumar, DW Steyn, A Kumble","PA Patel, ML Hayden, SK Raina, MS Dhoni, A Flintoff, JA Morkel, S Badrinath, Joginder Sharma, L Balaji, MS Gony, M Muralitharan"
2009-04-21,2009,Durban,Kingsmead,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,158,6,79,1,Kolkata Knight Riders,complete,11,0,CH Gayle,D Govindjee,DJ Harper,SD Ranade,TH Wijewardene,EC Hendrikse,20,"RS Bopara, K Goel, IK Pathan, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, T Kohli, PP Chawla, VS Malik, VRV Singh, YA Abdulla","BB McCullum, CH Gayle, BJ Hodge, SC Ganguly, Yashpal Singh, A Chopra, MC Henriques, LR Shukla, I Sharma, M Kartik, AB Dinda"
2009-04-22,2009,Cape Town,Newlands,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,160,8,184,6,Deccan Chargers,complete,24,0,AC Gilchrist,Yashpal Sharma,M Erasmus,AM Saheba,MR Benson,Unknown,20,"JD Ryder, RV Uthappa, JH Kallis, KP Pietersen, R Dravid, V Kohli, R Bishnoi, KV Sharma, P Kumar, A Kumble, DW Steyn","AC Gilchrist, HH Gibbs, VVS Laxman, RG Sharma, SB Styris, Y Venugopal Rao, DB Ravi Teja, FH Edwards, Harmeet Singh, PP Ojha, RP Singh"
2009-04-23,2009,Cape Town,Newlands,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,165,9,168,6,None,tie,0,0,YK Pathan,GR Viswanath,MR Benson,M Erasmus,AM Saheba,EC Hendrikse,20,"CH Gayle, BB McCullum, LR Shukla, BJ Hodge, SC Ganguly, SB Bangar, Yashpal Singh, AB Agarkar, I Sharma, BAW Mendis, Anureet Singh","GC Smith, PC Valthaty, RJ Quiney, YK Pathan, RA Jadeja, AD Mascarenhas, AS Raut, SK Warne, M Rawat, MM Patel, Kamran Khan"
2009-04-23,2009,Durban,Kingsmead,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,bat,180,9,189,5,Delhi Daredevils,complete,9,0,AB de Villiers,D Govindjee,BR Doctrove,SJA Taufel,SD Ranade,ZTA Ndamane,20,"PA Patel, ML Hayden, SK Raina, MS Dhoni, A Flintoff, JA Morkel, S Badrinath, MS Gony, Joginder Sharma, L Balaji, M Muralitharan","G Gambhir, V Sehwag, AB de Villiers, TM Dilshan, KD Karthik, MK Tiwary, DL Vettori, DP Nannes, AM Salvi, PJ Sangwan, A Nehra"
2009-04-24,2009,Durban,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,168,9,173,3,Kings XI Punjab,complete,0,7,RS Bopara,D Govindjee,BR Doctrove,TH Wijewardene,SJA Taufel,ZTA Ndamane,20,"JD Ryder, RV Uthappa, JH Kallis, KP Pietersen, R Dravid, LRPL Taylor, V Kohli, P Kumar, R Vinay Kumar, Pankaj Singh, A Kumble","RS Bopara, K Goel, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, WA Mota, PP Chawla, VRV Singh, RR Bose, YA Abdulla"
