date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2016-04-09,2016,Mumbai,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,121,8,126,1,Rising Pune Supergiants,complete,0,9,AM Rahane,J Srinath,HDPK Dharmasena,CK Nandan,VA Kulkarni,VK Sharma,20,"LMP Simmons, RG Sharma, HH Pandya, JC Buttler, AT Rayudu, KA Pollard, S Gopal, Harbhajan Singh, R Vinay Kumar, MJ McClenaghan, JJ Bumrah","AM Rahane, F du Plessis, KP Pietersen, MS Dhoni, SPD Smith, R Bhatia, MR Marsh, R Ashwin, I Sharma, M Ashwin, RP Singh"
2016-04-10,2016,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,99,1,98,10,Kolkata Knight Riders,complete,0,9,AD Russell,M Nayyar,S Ravi,C Shamshuddin,Nitin Menon,A Deshmukh,20,"RV Uthappa, G Gambhir, MK Pandey, C Munro, SA Yadav, YK Pathan, AD Russell, PP Chawla, JW Hastings, GB Hogg, UT Yadav","MA Agarwal, Q de Kock, SS Iyer, KK Nair, SV Samson, P Negi, CR Brathwaite, CH Morris, NM Coulter-Nile, A Mishra, Z Khan"
2016-04-11,2016,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,161,6,162,5,Gujarat Lions,complete,0,5,AJ Finch,Chinmay Sharma,AK Chaudhary,VA Kulkarni,A Nand Kishore,K Bharatan,20,"M Vijay, M Vohra, DA Miller, GJ Maxwell, WP Saha, MP Stoinis, AR Patel, MG Johnson, P Sahu, MM Sharma, Sandeep Sharma","AJ Finch, BB McCullum, SK Raina, KD Karthik, RA Jadeja, Ishan Kishan, DJ Bravo, JP Faulkner, P Kumar, PJ Sangwan, S Ladda"
2016-04-12,2016,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,227,4,182,6,Royal Challengers Bangalore,complete,45,0,AB de Villiers,J Srinath,HDPK Dharmasena,VK Sharma,KN Ananthapadmanabhan,YC Barde,20,"CH Gayle, V Kohli, AB de Villiers, SR Watson, SN Khan, KM Jadhav, STR Binny, Parvez Rasool, HV Patel, AF Milne, YS Chahal","DA Warner, S Dhawan, MC Henriques, NV Ojha, DJ Hooda, EJG Morgan, A Ashish Reddy, KV Sharma, A Nehra, B Kumar, Mustafizur Rahman"
2016-04-13,2016,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,187,5,188,4,Mumbai Indians,complete,0,6,RG Sharma,M Nayyar,Nitin Menon,S Ravi,C Shamshuddin,Navdeep Singh,20,"RV Uthappa, G Gambhir, MK Pandey, AD Russell, YK Pathan, C Munro, SA Yadav, PP Chawla, JW Hastings, Kuldeep Yadav, GB Hogg","RG Sharma, PA Patel, HH Pandya, MJ McClenaghan, JC Buttler, KA Pollard, AT Rayudu, Harbhajan Singh, J Suchith, TG Southee, JJ Bumrah"
2016-04-14,2016,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiants,Rising Pune Supergiants,bat,164,3,163,5,Gujarat Lions,complete,0,7,AJ Finch,Chinmay Sharma,VA Kulkarni,CK Nandan,AY Dandekar,K Bharatan,20,"AJ Finch, BB McCullum, SK Raina, DJ Bravo, RA Jadeja, KD Karthik, AD Nath, JP Faulkner, P Kumar, SB Jakati, PV Tambe","AM Rahane, F du Plessis, KP Pietersen, SPD Smith, MS Dhoni, MR Marsh, R Bhatia, R Ashwin, I Sharma, RP Singh, M Ashwin"
2016-04-15,2016,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,113,2,111,9,Delhi Daredevils,complete,0,8,A Mishra,RS Mahanama,S Ravi,C Shamshuddin,Nitin Menon,Navdeep Singh,20,"Q de Kock, SS Iyer, SV Samson, P Negi, KK Nair, JP Duminy, CR Brathwaite, J Yadav, CH Morris, Z Khan, A Mishra","M Vijay, M Vohra, SE Marsh, DA Miller, GJ Maxwell, AR Patel, WP Saha, MG Johnson, MM Sharma, P Sahu, Sandeep Sharma"
2016-04-16,2016,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,142,7,146,2,Kolkata Knight Riders,complete,0,8,G Gambhir,J Srinath,AK Chaudhary,CK Nandan,K Bharatan,A Deshmukh,20,"DA Warner, S Dhawan, MC Henriques, EJG Morgan, DJ Hooda, NV Ojha, A Ashish Reddy, KV Sharma, B Kumar, Mustafizur Rahman, BB Sran","RV Uthappa, G Gambhir, AD Russell, MK Pandey, Shakib Al Hasan, YK Pathan, SA Yadav, PP Chawla, SP Narine, M Morkel, UT Yadav"
2016-04-16,2016,Mumbai,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,143,8,147,7,Gujarat Lions,complete,0,3,AJ Finch,Chinmay Sharma,HDPK Dharmasena,VK Sharma,KN Ananthapadmanabhan,YC Barde,20,"RG Sharma, PA Patel, HH Pandya, JC Buttler, KA Pollard, AT Rayudu, Harbhajan Singh, KH Pandya, TG Southee, MJ McClenaghan, JJ Bumrah","AJ Finch, BB McCullum, SK Raina, KD Karthik, DJ Bravo, AD Nath, JP Faulkner, P Kumar, DS Kulkarni, SB Jakati, PV Tambe"
2016-04-17,2016,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,191,5,192,3,Delhi Daredevils,complete,0,7,Q de Kock,RS Mahanama,VA Kulkarni,A Nand Kishore,AY Dandekar,R Pandit,20,"CH Gayle, V Kohli, AB de Villiers, SR Watson, SN Khan, KM Jadhav, D Wiese, Parvez Rasool, HV Patel, YS Chahal, S Aravind","Q de Kock, SS Iyer, SV Samson, KK Nair, JP Duminy, CR Brathwaite, CH Morris, P Negi, Z Khan, A Mishra, Mohammed Shami"
