date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2015-04-08,2015,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,170,3,168,3,Kolkata Knight Riders,complete,0,7,M Morkel,J Srinath,S Ravi,C Shamshuddin,PG Pathak,VK Sharma,20,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav, YK Pathan, Shakib Al Hasan, AD Russell, PP Chawla, SP Narine, UT Yadav, M Morkel","RG Sharma, AJ Finch, AP Tare, AT Rayudu, CJ Anderson, KA Pollard, Harbhajan Singh, SL Malinga, R Vinay Kumar, JJ Bumrah, PP Ojha"
2015-04-09,2015,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,150,7,149,9,Chennai Super Kings,complete,1,0,A Nehra,M Nayyar,RK Illingworth,VA Kulkarni,RM Deshpande,K Bharatan,20,"DR Smith, BB McCullum, SK Raina, F du Plessis, RA Jadeja, MS Dhoni, DJ Bravo, R Ashwin, MM Sharma, IC Pandey, A Nehra","MA Agarwal, CM Gautam, JA Morkel, SS Iyer, KM Jadhav, Yuvraj Singh, JP Duminy, NM Coulter-Nile, A Mishra, Imran Tahir, DJ Muthuswami"
2015-04-10,2015,Pune,Maharashtra Cricket Association Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,136,8,162,7,Rajasthan Royals,complete,26,0,JP Faulkner,GF Labrooy,SD Fry,CB Gaffaney,K Srinath,CK Nandan,20,"V Sehwag, M Vijay, WP Saha, GJ Maxwell, AR Patel, DA Miller, GJ Bailey, MG Johnson, Anureet Singh, Karanveer Singh, Sandeep Sharma","AM Rahane, SV Samson, SPD Smith, KK Nair, STR Binny, DJ Hooda, JP Faulkner, CH Morris, TG Southee, DS Kulkarni, PV Tambe"
2015-04-11,2015,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,177,6,179,7,Royal Challengers Bangalore,complete,0,3,CH Gayle,J Srinath,S Ravi,C Shamshuddin,PG Pathak,VK Sharma,20,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav, YK Pathan, AD Russell, Shakib Al Hasan, PP Chawla, SP Narine, KC Cariappa, M Morkel","CH Gayle, V Kohli, KD Karthik, Mandeep Singh, AB de Villiers, DJG Sammy, SA Abbott, HV Patel, AN Ahmed, YS Chahal, VR Aaron"
2015-04-11,2015,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,209,4,164,6,Chennai Super Kings,complete,45,0,BB McCullum,M Nayyar,RK Illingworth,VA Kulkarni,RM Deshpande,K Bharatan,20,"DR Smith, BB McCullum, SK Raina, MS Dhoni, RA Jadeja, DJ Bravo, F du Plessis, R Ashwin, MM Sharma, IC Pandey, A Nehra","DA Warner, S Dhawan, KL Rahul, NV Ojha, RS Bopara, KS Williamson, KV Sharma, Parvez Rasool, B Kumar, I Sharma, TA Boult"
2015-04-12,2015,Mumbai,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,159,7,177,5,Kings XI Punjab,complete,18,0,GJ Bailey,Chinmay Sharma,AK Chaudhary,K Srinivasan,K Srinath,A Nand Kishore,20,"RG Sharma, AJ Finch, AP Tare, AT Rayudu, CJ Anderson, KA Pollard, J Suchith, Harbhajan Singh, R Vinay Kumar, SL Malinga, P Suyal","M Vijay, V Sehwag, GJ Maxwell, DA Miller, GJ Bailey, R Dhawan, MG Johnson, WP Saha, AR Patel, Anureet Singh, Sandeep Sharma"
2015-04-12,2015,Delhi,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,184,3,186,7,Rajasthan Royals,complete,0,3,DJ Hooda,GF Labrooy,SD Fry,CB Gaffaney,CK Nandan,Nitin Menon,20,"MA Agarwal, SS Iyer, JP Duminy, Yuvraj Singh, AD Mathews, MK Tiwary, KM Jadhav, NM Coulter-Nile, A Mishra, Imran Tahir, JD Unadkat","AM Rahane, SV Samson, SPD Smith, KK Nair, STR Binny, DJ Hooda, JP Faulkner, CH Morris, TG Southee, DS Kulkarni, PV Tambe"
2015-04-13,2015,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,166,10,172,2,Sunrisers Hyderabad,complete,0,8,DA Warner,M Nayyar,RM Deshpande,RK Illingworth,VA Kulkarni,K Bharatan,20,"CH Gayle, V Kohli, KD Karthik, AB de Villiers, Mandeep Singh, DJG Sammy, SA Abbott, HV Patel, AN Ahmed, VR Aaron, YS Chahal","DA Warner, S Dhawan, KS Williamson, KL Rahul, NV Ojha, RS Bopara, A Ashish Reddy, KV Sharma, P Kumar, B Kumar, TA Boult"
2015-04-14,2015,Ahmedabad,"Sardar Patel Stadium, Motera",Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,165,3,164,6,Rajasthan Royals,complete,0,7,SPD Smith,Chinmay Sharma,AK Chaudhary,SD Fry,K Srinivasan,A Nand Kishore,20,"AM Rahane, SV Samson, SPD Smith, DJ Hooda, JP Faulkner, KK Nair, STR Binny, CH Morris, TG Southee, DS Kulkarni, PV Tambe","AJ Finch, PA Patel, UBT Chand, RG Sharma, CJ Anderson, KA Pollard, J Suchith, S Gopal, SL Malinga, R Vinay Kumar, P Suyal"
2015-04-15,2015,Pune,Maharashtra Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,165,7,169,5,Delhi Daredevils,complete,0,5,MA Agarwal,GF Labrooy,CB Gaffaney,K Srinath,CK Nandan,Nitin Menon,20,"M Vijay, V Sehwag, WP Saha, DA Miller, GJ Maxwell, GJ Bailey, AR Patel, R Dhawan, MG Johnson, Anureet Singh, Sandeep Sharma","MA Agarwal, SS Iyer, JP Duminy, Yuvraj Singh, AD Mathews, KM Jadhav, MK Tiwary, NM Coulter-Nile, A Mishra, Imran Tahir, DJ Muthuswami"
