date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2023-03-31,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,178,7,182,5,Gujarat Titans,complete,0,5,Rashid Khan,J Srinath,Nitin Menon,HAS Khalid,VK Sharma,A Bengeri,20,"TU Deshpande, DP Conway, RD Gaikwad, MM Ali, BA Stokes, AT Rayudu, S Dube, RA Jadeja, MS Dhoni, MJ Santner, DL Chahar, RS Hangargekar","KS Williamson, WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, V Shankar, R Tewatia, Rashid Khan, Mohammed Shami, J Little, Yash Dayal, AS Joseph"
2023-04-01,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,193,6,143,9,Lucknow Super Giants,complete,50,0,MA Wood,DS Manohar,AK Chaudhary,NA Patwardhan,GR Sadashiv Iyer,M Kuppuraj,20,"KL Rahul, KR Mayers, DJ Hooda, KH Pandya, MP Stoinis, N Pooran, A Badoni, K Gowtham, Avesh Khan, Ravi Bishnoi, JD Unadkat, MA Wood","KK Ahmed, PP Shaw, DA Warner, MR Marsh, SN Khan, RR Rossouw, R Powell, Aman Hakim Khan, AR Patel, Kuldeep Yadav, C Sakariya, Mukesh Kumar"
2023-04-01,2023,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,191,5,146,7,Punjab Kings,complete,7,0,Arshdeep Singh,M Nayyar,BNJ Oxenford,YC Barde,J Madanagopal,PM Joshi,20,"P Simran Singh, S Dhawan, PBB Rajapaksa, JM Sharma, Sikandar Raza, SM Curran, M Shahrukh Khan, Harpreet Brar, RD Chahar, Arshdeep Singh, NT Ellis, R Dhawan","Mandeep Singh, Rahmanullah Gurbaz, AS Roy, VR Iyer, N Rana, RK Singh, AD Russell, SN Thakur, SP Narine, TG Southee, UT Yadav, CV Varun"
2023-04-02,2023,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,171,7,172,2,Royal Challengers Bangalore,complete,0,8,F du Plessis,J Srinath,Nitin Menon,Tapan Sharma,VK Sharma,A Bengeri,20,"JP Behrendorff, RG Sharma, Ishan Kishan, C Green, SA Yadav, Tilak Varma, N Wadhera, TH David, HR Shokeen, Arshad Khan, PP Chawla, JC Archer","V Kohli, F du Plessis, KD Karthik, GJ Maxwell, MG Bracewell, Shahbaz Ahmed, HV Patel, Akash Deep, RJW Topley, Mohammed Siraj, KV Sharma"
2023-04-02,2023,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,203,5,131,8,Rajasthan Royals,complete,72,0,JC Buttler,V Narayan Kutty,KN Ananthapadmanabhan,R Pandit,Navdeep Singh,Abhijit Bhattacharya,20,"NA Saini, YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, R Parag, SO Hetmyer, R Ashwin, JO Holder, TA Boult, KM Asif, YS Chahal","Fazalhaq Farooqi, Abhishek Sharma, MA Agarwal, RA Tripathi, HC Brook, Washington Sundar, GD Phillips, Abdul Samad, AU Rashid, B Kumar, Umran Malik, T Natarajan"
2023-04-03,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,217,7,205,7,Chennai Super Kings,complete,12,0,MM Ali,M Nayyar,A Totre,BNJ Oxenford,UV Gandhe,PM Joshi,20,"TU Deshpande, RD Gaikwad, DP Conway, S Dube, MM Ali, BA Stokes, AT Rayudu, RA Jadeja, MS Dhoni, MJ Santner, DL Chahar, RS Hangargekar","Avesh Khan, KL Rahul, KR Mayers, DJ Hooda, KH Pandya, MP Stoinis, N Pooran, A Badoni, K Gowtham, MA Wood, Yash Thakur, Ravi Bishnoi"
2023-04-04,2023,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,162,8,163,4,Gujarat Titans,complete,0,6,B Sai Sudharsan,DS Manohar,A Nand Kishore,GR Sadashiv Iyer,AK Chaudhary,M Kuppuraj,20,"KK Ahmed, DA Warner, PP Shaw, MR Marsh, SN Khan, RR Rossouw, Abishek Porel, AR Patel, Aman Hakim Khan, Kuldeep Yadav, A Nortje, Mukesh Kumar","J Little, WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, V Shankar, DA Miller, R Tewatia, Rashid Khan, AS Joseph, Yash Dayal, Mohammed Shami"
2023-04-05,2023,Guwahati,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,197,5,192,7,Punjab Kings,complete,5,0,NT Ellis,V Narayan Kutty,KN Ananthapadmanabhan,MV Saidharshan Kumar,R Pandit,Abhijit Bhattacharya,20,"P Simran Singh, S Dhawan, PBB Rajapaksa, JM Sharma, Sikandar Raza, M Shahrukh Khan, SM Curran, Harpreet Brar, NT Ellis, RD Chahar, Arshdeep Singh, R Dhawan","YBK Jaiswal, R Ashwin, JC Buttler, SV Samson, D Padikkal, R Parag, SO Hetmyer, Dhruv Jurel, JO Holder, YS Chahal, TA Boult, KM Asif"
2023-04-06,2023,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,204,7,123,10,Kolkata Knight Riders,complete,81,0,SN Thakur,Shakti Singh,Vinod Seshan,VK Sharma,Nitin Menon,A Bengeri,20,"Suyash Sharma, Rahmanullah Gurbaz, VR Iyer, Mandeep Singh, N Rana, RK Singh, AD Russell, SN Thakur, SP Narine, UT Yadav, TG Southee, CV Varun","Mohammed Siraj, V Kohli, F du Plessis, MG Bracewell, GJ Maxwell, HV Patel, Shahbaz Ahmed, KD Karthik, Anuj Rawat, DJ Willey, KV Sharma, Akash Deep"
2023-04-07,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,121,8,127,5,Lucknow Super Giants,complete,0,5,KH Pandya,M Nayyar,J Madanagopal,YC Barde,BNJ Oxenford,PM Joshi,20,"Fazalhaq Farooqi, Anmolpreet Singh, MA Agarwal, RA Tripathi, AK Markram, HC Brook, Washington Sundar, Abdul Samad, AU Rashid, Umran Malik, B Kumar, T Natarajan","A Mishra, KR Mayers, KL Rahul, DJ Hooda, KH Pandya, MP Stoinis, R Shepherd, N Pooran, Yash Thakur, JD Unadkat, Ravi Bishnoi, A Badoni"
2023-04-08,2023,Guwahati,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,199,4,142,9,Rajasthan Royals,complete,57,0,YBK Jaiswal,V Narayan Kutty,Navdeep Singh,MV Saidharshan Kumar,KN Ananthapadmanabhan,Abhijit Bhattacharya,20,"M Ashwin, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, JO Holder, R Ashwin, YS Chahal, TA Boult, Sandeep Sharma","KK Ahmed, PP Shaw, DA Warner, MK Pandey, RR Rossouw, Lalit Yadav, AR Patel, R Powell, Abishek Porel, Kuldeep Yadav, A Nortje, Mukesh Kumar"
2023-04-08,2023,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,157,8,159,3,Chennai Super Kings,complete,0,7,RA Jadeja,DS Manohar,CB Gaffaney,NA Patwardhan,AK Chaudhary,M Kuppuraj,20,"K Kartikeya, RG Sharma, Ishan Kishan, C Green, SA Yadav, Tilak Varma, Arshad Khan, TH David, T Stubbs, HR Shokeen, PP Chawla, JP Behrendorff","DL Chahar, DP Conway, RD Gaikwad, AM Rahane, S Dube, AT Rayudu, RA Jadeja, MS Dhoni, D Pretorius, MJ Santner, SSB Magala, TU Deshpande"
2023-04-09,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,204,4,207,7,Kolkata Knight Riders,complete,0,3,RK Singh,J Srinath,Nitin Menon,Tapan Sharma,HAS Khalid,A Bengeri,20,"J Little, WP Saha, Shubman Gill, B Sai Sudharsan, A Manohar, V Shankar, DA Miller, R Tewatia, Rashid Khan, AS Joseph, Mohammed Shami, Yash Dayal","Suyash Sharma, Rahmanullah Gurbaz, N Jagadeesan, VR Iyer, N Rana, RK Singh, AD Russell, SP Narine, SN Thakur, UT Yadav, LH Ferguson, CV Varun"
2023-04-09,2023,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,143,9,145,2,Sunrisers Hyderabad,complete,0,8,S Dhawan,M Nayyar,BNJ Oxenford,UV Gandhe,J Madanagopal,PM Joshi,20,"P Simran Singh, S Dhawan, MW Short, JM Sharma, SM Curran, Sikandar Raza, M Shahrukh Khan, Harpreet Brar, RD Chahar, NT Ellis, Mohit Rathee, Arshdeep Singh","HC Brook, MA Agarwal, RA Tripathi, AK Markram, H Klaasen, Washington Sundar, M Jansen, M Markande, B Kumar, Umran Malik, T Natarajan"
